quantile,value,horizon,scenario_id,n_bootstrapping
0.975,1163.475,2,D-2024-08-01,0
0.99,1179.3899999999999,2,D-2024-08-01,0
0.01,3.8721179874005083,3,D-2024-08-01,0
0.025,4.342955273417801,3,D-2024-08-01,0
0.05,5.133874649633804,3,D-2024-08-01,0
0.1,89.20334642576593,3,D-2024-08-01,0
0.15,109.21290908565538,3,D-2024-08-01,0
0.2,113.62031758045248,3,D-2024-08-01,0
0.25,120.25333469121722,3,D-2024-08-01,0
0.3,130.61861436026632,3,D-2024-08-01,0
0.35,166.2341492537313,3,D-2024-08-01,0
0.4,230.43131175665206,3,D-2024-08-01,0
0.45,257.25164404735983,3,D-2024-08-01,0
0.5,293.30722456816414,3,D-2024-08-01,0
0.55,453.02751145669157,3,D-2024-08-01,0
0.6,563.3348428442174,3,D-2024-08-01,0
0.65,587.1115228063366,3,D-2024-08-01,0
0.7,601.4701260937218,3,D-2024-08-01,0
0.75,618.9216718941537,3,D-2024-08-01,0
0.8,641.9132752313776,3,D-2024-08-01,0
0.85,763.1128747034719,3,D-2024-08-01,0
0.9,1393.0,3,D-2024-08-01,0
0.95,1435.0999999999997,3,D-2024-08-01,0
0.975,1450.8,3,D-2024-08-01,0
0.99,1474.98,3,D-2024-08-01,0
0.01,2.4934423304887097,4,D-2024-08-01,0
0.025,2.941716682054957,4,D-2024-08-01,0
0.05,3.746201602573747,4,D-2024-08-01,0
0.1,44.28000000000003,4,D-2024-08-01,0
0.15,96.07004068348249,4,D-2024-08-01,0
0.2,109.78021627175835,4,D-2024-08-01,0
0.25,115.7010980564401,4,D-2024-08-01,0
0.3,123.84897264205088,4,D-2024-08-01,0
0.35,137.63019867405004,4,D-2024-08-01,0
0.4,182.6814519345832,4,D-2024-08-01,0
0.45,247.3762288532411,4,D-2024-08-01,0
0.5,300.3895540180496,4,D-2024-08-01,0
0.55,502.7933493911029,4,D-2024-08-01,0
0.6,594.2251729827423,4,D-2024-08-01,0
0.65,671.5087828201364,4,D-2024-08-01,0
0.7,715.6240620583493,4,D-2024-08-01,0
0.75,745.6590158311544,4,D-2024-08-01,0
0.8,771.1104740403779,4,D-2024-08-01,0
0.85,1434.525391570498,4,D-2024-08-01,0
0.9,1487.0231921700295,4,D-2024-08-01,0
0.95,1519.0394534619616,4,D-2024-08-01,0
0.975,1542.3670226373679,4,D-2024-08-01,0
0.99,1571.745203891793,4,D-2024-08-01,0
0.01,0.0,5,D-2024-08-01,0
0.025,0.22000000000000003,5,D-2024-08-01,0
0.05,2.155538848441535,5,D-2024-08-01,0
0.1,4.041906499081657,5,D-2024-08-01,0
0.15,18.740000000000006,5,D-2024-08-01,0
0.2,85.92501510574019,5,D-2024-08-01,0
0.25,112.98689228654871,5,D-2024-08-01,0
0.3,124.48423470174177,5,D-2024-08-01,0
0.35,138.08095118092965,5,D-2024-08-01,0
0.4,166.8927287421204,5,D-2024-08-01,0
0.45,263.7994577239364,5,D-2024-08-01,0
0.5,301.90899239439943,5,D-2024-08-01,0
0.55,554.3728697566462,5,D-2024-08-01,0
0.6,630.4539583134142,5,D-2024-08-01,0
0.65,732.9024129370547,5,D-2024-08-01,0
0.7,942.6641794234532,5,D-2024-08-01,0
0.75,982.2833606901096,5,D-2024-08-01,0
0.8,1024.6461579740944,5,D-2024-08-01,0
0.85,1402.3322512065556,5,D-2024-08-01,0
0.9,1458.8992153205982,5,D-2024-08-01,0
0.95,1502.510591858424,5,D-2024-08-01,0
0.975,1526.4966761344797,5,D-2024-08-01,0
0.99,4907.836231629957,5,D-2024-08-01,0
0.01,0.0,6,D-2024-08-01,0
0.025,0.0,6,D-2024-08-01,0
0.05,1.1400000000000003,6,D-2024-08-01,0
0.1,3.1179819904574293,6,D-2024-08-01,0
0.15,12.680000000000001,6,D-2024-08-01,0
0.2,73.38491109229467,6,D-2024-08-01,0
0.25,114.14320130121034,6,D-2024-08-01,0
0.3,130.14952412825497,6,D-2024-08-01,0
0.35,154.8723977375587,6,D-2024-08-01,0
0.4,203.6173985086993,6,D-2024-08-01,0
0.45,274.02483114113045,6,D-2024-08-01,0
0.5,347.39364367460564,6,D-2024-08-01,0
0.55,568.3878714372348,6,D-2024-08-01,0
0.6,625.3427574277977,6,D-2024-08-01,0
0.65,721.8873328600744,6,D-2024-08-01,0
0.7,1231.6059844517388,6,D-2024-08-01,0
0.75,1281.0538618426885,6,D-2024-08-01,0
0.8,1355.5711186330925,6,D-2024-08-01,0
0.85,1443.5402958854356,6,D-2024-08-01,0
0.9,1469.8182239664684,6,D-2024-08-01,0
0.95,1541.7140385011558,6,D-2024-08-01,0
0.975,3037.7200000000003,6,D-2024-08-01,0
0.99,8859.323999999948,6,D-2024-08-01,0
0.01,0.0,7,D-2024-08-01,0
0.025,1.1230558196248115,7,D-2024-08-01,0
0.05,2.1592985817701056,7,D-2024-08-01,0
0.1,5.689238477990001,7,D-2024-08-01,0
0.15,46.1,7,D-2024-08-01,0
0.2,113.2568699399176,7,D-2024-08-01,0
0.25,137.5550979510313,7,D-2024-08-01,0
0.3,166.00001712364528,7,D-2024-08-01,0
0.35,205.26524419716057,7,D-2024-08-01,0
0.4,283.40590168299525,7,D-2024-08-01,0
0.45,337.69551591041676,7,D-2024-08-01,0
0.5,516.9220192627034,7,D-2024-08-01,0
0.55,610.1318713450294,7,D-2024-08-01,0
0.6,674.4757943385326,7,D-2024-08-01,0
0.65,879.8000000000011,7,D-2024-08-01,0
0.7,1582.5716242313301,7,D-2024-08-01,0
0.75,1632.936576688235,7,D-2024-08-01,0
0.8,1654.890537929212,7,D-2024-08-01,0
0.85,1676.2582934451107,7,D-2024-08-01,0
0.9,1711.506636364259,7,D-2024-08-01,0
0.95,2194.6732412947567,7,D-2024-08-01,0
0.975,6928.4400000000005,7,D-2024-08-01,0
0.99,10200.97199999999,7,D-2024-08-01,0
0.01,1.437657620904594,8,D-2024-08-01,0
0.025,2.435082737369601,8,D-2024-08-01,0
0.05,4.560400240191054,8,D-2024-08-01,0
0.1,48.380000000000024,8,D-2024-08-01,0
0.15,112.43471698113208,8,D-2024-08-01,0
0.2,154.10728199734118,8,D-2024-08-01,0
0.25,200.8398160166026,8,D-2024-08-01,0
0.3,258.16200096838105,8,D-2024-08-01,0
0.35,318.5140641403588,8,D-2024-08-01,0
0.4,359.7296381551079,8,D-2024-08-01,0
0.45,432.6729675960251,8,D-2024-08-01,0
0.5,571.7786311569487,8,D-2024-08-01,0
0.55,641.7255663811069,8,D-2024-08-01,0
0.6,758.4584020478608,8,D-2024-08-01,0
0.65,1842.8421683073855,8,D-2024-08-01,0
0.7,1882.7481411735905,8,D-2024-08-01,0
0.75,1916.9945684422846,8,D-2024-08-01,0
0.8,1987.586509054189,8,D-2024-08-01,0
0.85,2125.646196498793,8,D-2024-08-01,0
0.9,2283.763634618269,8,D-2024-08-01,0
0.95,3906.6199999999935,8,D-2024-08-01,0
0.975,9951.810000000005,8,D-2024-08-01,0
0.99,18074.163999999982,8,D-2024-08-01,0
0.01,2.0275250656488817,9,D-2024-08-01,0
0.025,4.364492968894094,9,D-2024-08-01,0
0.05,9.25342419219588,9,D-2024-08-01,0
0.1,100.28000000000009,9,D-2024-08-01,0
0.15,182.72550066659193,9,D-2024-08-01,0
0.2,247.21604066200098,9,D-2024-08-01,0
0.25,308.7010147590896,9,D-2024-08-01,0
