quantiles,value,horizon,target_end_date,k,n_bootstrapping
0.15000000000000002,278.73,11,2024-10-26,0.05,0
0.2,340.82000000000005,11,2024-10-26,0.05,0
0.25,385.7,11,2024-10-26,0.05,0
0.3,444.52,11,2024-10-26,0.05,0
0.35000000000000003,490.8,11,2024-10-26,0.05,0
0.4,521.2600000000001,11,2024-10-26,0.05,0
0.45,598.41,11,2024-10-26,0.05,0
0.5,683.4,11,2024-10-26,0.05,0
0.55,759.73,11,2024-10-26,0.05,0
0.6000000000000001,824.22,11,2024-10-26,0.05,0
0.6500000000000001,911.5000000000002,11,2024-10-26,0.05,0
0.7000000000000001,1463.2600000000016,11,2024-10-26,0.05,0
0.7500000000000001,3889.600000000006,11,2024-10-26,0.05,0
0.8,4347.200000000001,11,2024-10-26,0.05,0
0.8500000000000001,5603.350000000005,11,2024-10-26,0.05,0
0.9000000000000001,6181.0,11,2024-10-26,0.05,0
0.9500000000000001,6308.0,11,2024-10-26,0.05,0
0.975,6417.05,11,2024-10-26,0.05,0
0.99,6473.459999999999,11,2024-10-26,0.05,0
0.01,20.013298014805144,12,2024-11-02,0.05,0
0.025,32.08651164058644,12,2024-11-02,0.05,0
0.05,36.949874030879684,12,2024-11-02,0.05,0
0.1,229.82000000000002,12,2024-11-02,0.05,0
0.15000000000000002,328.62000000000006,12,2024-11-02,0.05,0
0.2,471.50000000000006,12,2024-11-02,0.05,0
0.25,554.6500000000001,12,2024-11-02,0.05,0
0.3,616.16,12,2024-11-02,0.05,0
0.35000000000000003,652.29,12,2024-11-02,0.05,0
0.4,691.72,12,2024-11-02,0.05,0
0.45,761.54,12,2024-11-02,0.05,0
0.5,888.5,12,2024-11-02,0.05,0
0.55,967.98,12,2024-11-02,0.05,0
0.6000000000000001,1103.7800000000002,12,2024-11-02,0.05,0
0.6500000000000001,1415.200000000002,12,2024-11-02,0.05,0
0.7000000000000001,2760.9200000000073,12,2024-11-02,0.05,0
0.7500000000000001,4823.000000000002,12,2024-11-02,0.05,0
0.8,5300.400000000001,12,2024-11-02,0.05,0
0.8500000000000001,8705.9,12,2024-11-02,0.05,0
0.9000000000000001,8896.4,12,2024-11-02,0.05,0
0.9500000000000001,9021.300000000001,12,2024-11-02,0.05,0
0.975,9319.2,12,2024-11-02,0.05,0
0.99,11068.085999999974,12,2024-11-02,0.05,0
0.01,46.765961757960724,13,2024-11-09,0.05,0
0.025,63.80771707256906,13,2024-11-09,0.05,0
0.05,73.47075672736953,13,2024-11-09,0.05,0
0.1,422.16,13,2024-11-09,0.05,0
0.15000000000000002,620.64,13,2024-11-09,0.05,0
0.2,698.8785586866522,13,2024-11-09,0.05,0
0.25,828.75,13,2024-11-09,0.05,0
0.3,908.0799999999999,13,2024-11-09,0.05,0
0.35000000000000003,950.8000000000001,13,2024-11-09,0.05,0
0.4,1027.18,13,2024-11-09,0.05,0
0.45,1095.87,13,2024-11-09,0.05,0
0.5,1276.3,13,2024-11-09,0.05,0
0.55,1405.6000000000001,13,2024-11-09,0.05,0
0.6000000000000001,1511.96,13,2024-11-09,0.05,0
0.6500000000000001,1880.6600000000053,13,2024-11-09,0.05,0
0.7000000000000001,4075.940000000004,13,2024-11-09,0.05,0
0.7500000000000001,5757.200000000005,13,2024-11-09,0.05,0
0.8,6377.460000000001,13,2024-11-09,0.05,0
0.8500000000000001,11730.0,13,2024-11-09,0.05,0
0.9000000000000001,12041.2,13,2024-11-09,0.05,0
0.9500000000000001,12229.1,13,2024-11-09,0.05,0
0.975,12625.2,13,2024-11-09,0.05,0
0.99,16488.39399999996,13,2024-11-09,0.05,0
0.01,134.39375365340098,14,2024-11-16,0.05,0
0.025,199.84058710410793,14,2024-11-16,0.05,0
0.05,261.48953444230074,14,2024-11-16,0.05,0
0.1,602.8200000000002,14,2024-11-16,0.05,0
0.15000000000000002,976.4100000000002,14,2024-11-16,0.05,0
0.2,1233.8200000000002,14,2024-11-16,0.05,0
0.25,1425.45,14,2024-11-16,0.05,0
0.3,1518.6399999999999,14,2024-11-16,0.05,0
0.35000000000000003,1579.0,14,2024-11-16,0.05,0
0.4,1687.38,14,2024-11-16,0.05,0
0.45,1938.67,14,2024-11-16,0.05,0
0.5,2070.8,14,2024-11-16,0.05,0
0.55,2173.77,14,2024-11-16,0.05,0
0.6000000000000001,2584.012466522235,14,2024-11-16,0.05,0
0.6500000000000001,3431.3082897644013,14,2024-11-16,0.05,0
0.7000000000000001,5614.260000000004,14,2024-11-16,0.05,0
0.7500000000000001,6867.850000000004,14,2024-11-16,0.05,0
0.8,7790.100000000001,14,2024-11-16,0.05,0
0.8500000000000001,15107.2,14,2024-11-16,0.05,0
0.9000000000000001,15530.600000000002,14,2024-11-16,0.05,0
0.9500000000000001,15856.6,14,2024-11-16,0.05,0
0.975,16131.050000000001,14,2024-11-16,0.05,0
0.99,18588.751999999975,14,2024-11-16,0.05,0
0.01,516.3111192670773,15,2024-11-23,0.05,0
0.025,683.035,15,2024-11-23,0.05,0
0.05,948.8057782812434,15,2024-11-23,0.05,0
0.1,1206.8042145338416,15,2024-11-23,0.05,0
0.15000000000000002,1611.61,15,2024-11-23,0.05,0
0.2,1886.8200000000004,15,2024-11-23,0.05,0
0.25,2243.3,15,2024-11-23,0.05,0
0.3,2563.8799999999997,15,2024-11-23,0.05,0
0.35000000000000003,2676.94,15,2024-11-23,0.05,0
0.4,2990.68,15,2024-11-23,0.05,0
0.45,3085.65,15,2024-11-23,0.05,0
0.5,3212.5,15,2024-11-23,0.05,0
0.55,3454.39,15,2024-11-23,0.05,0
0.6000000000000001,4175.860000000013,15,2024-11-23,0.05,0
0.6500000000000001,7837.120000000001,15,2024-11-23,0.05,0
0.7000000000000001,8685.20481234605,15,2024-11-23,0.05,0
0.7500000000000001,9144.25,15,2024-11-23,0.05,0
0.8,9799.119999999999,15,2024-11-23,0.05,0
0.8500000000000001,18282.150000000012,15,2024-11-23,0.05,0
0.9000000000000001,19281.0,15,2024-11-23,0.05,0
0.9500000000000001,19620.0,15,2024-11-23,0.05,0
0.975,19775.65,15,2024-11-23,0.05,0
0.99,23843.30799999999,15,2024-11-23,0.05,0
0.01,1088.6327574895681,16,2024-11-30,0.05,0
0.025,1377.8100000000002,16,2024-11-30,0.05,0
0.05,1857.2800000000002,16,2024-11-30,0.05,0
0.1,2461.28,16,2024-11-30,0.05,0
0.15000000000000002,3166.9700000000003,16,2024-11-30,0.05,0
0.2,3487.048721297805,16,2024-11-30,0.05,0
0.25,3875.35,16,2024-11-30,0.05,0
0.3,4344.839999999999,16,2024-11-30,0.05,0
0.35000000000000003,4736.58,16,2024-11-30,0.05,0
0.4,4866.84,16,2024-11-30,0.05,0
0.45,5044.15,16,2024-11-30,0.05,0
0.5,5424.9,16,2024-11-30,0.05,0
0.55,5713.8,16,2024-11-30,0.05,0
0.6000000000000001,7763.420000000027,16,2024-11-30,0.05,0
0.6500000000000001,10048.45,16,2024-11-30,0.05,0
0.7000000000000001,10649.64341194782,16,2024-11-30,0.05,0
0.7500000000000001,13665.200000000004,16,2024-11-30,0.05,0
0.8,17346.820000000003,16,2024-11-30,0.05,0
0.8500000000000001,22022.710000000003,16,2024-11-30,0.05,0
0.9000000000000001,22702.440000000002,16,2024-11-30,0.05,0
0.9500000000000001,23155.8,16,2024-11-30,0.05,0
0.975,23368.850000000002,16,2024-11-30,0.05,0
0.99,25408.84199999997,16,2024-11-30,0.05,0
0.01,1964.548,17,2024-12-07,0.05,0
0.025,2394.98,17,2024-12-07,0.05,0
0.05,3472.05,17,2024-12-07,0.05,0
0.1,3846.832495747305,17,2024-12-07,0.05,0
0.15000000000000002,4990.850000000001,17,2024-12-07,0.05,0
0.2,5586.0,17,2024-12-07,0.05,0
0.25,6559.450000000001,17,2024-12-07,0.05,0
0.3,7325.86,17,2024-12-07,0.05,0
0.35000000000000003,7741.805498548973,17,2024-12-07,0.05,0
0.4,8289.16,17,2024-12-07,0.05,0
0.45,8627.24,17,2024-12-07,0.05,0
0.5,9269.876013768675,17,2024-12-07,0.05,0
0.55,9823.945412765346,17,2024-12-07,0.05,0
0.6000000000000001,10202.72916780514,17,2024-12-07,0.05,0
0.6500000000000001,11486.7,17,2024-12-07,0.05,0
0.7000000000000001,12107.52518048679,17,2024-12-07,0.05,0
0.7500000000000001,19377.35000000001,17,2024-12-07,0.05,0
0.8,23836.65870511798,17,2024-12-07,0.05,0
0.8500000000000001,25786.6,17,2024-12-07,0.05,0
0.9000000000000001,26191.52,17,2024-12-07,0.05,0
0.9500000000000001,26966.620000000006,17,2024-12-07,0.05,0
0.975,29611.535000000014,17,2024-12-07,0.05,0
0.99,34460.111999999965,17,2024-12-07,0.05,0
0.01,3055.0280000000002,18,2024-12-14,0.05,0
0.025,3852.945,18,2024-12-14,0.05,0
0.05,5723.3,18,2024-12-14,0.05,0
0.1,7008.86,18,2024-12-14,0.05,0
0.15000000000000002,7528.5,18,2024-12-14,0.05,0
0.2,9111.800000000001,18,2024-12-14,0.05,0
0.25,10002.8,18,2024-12-14,0.05,0
0.3,10940.46,18,2024-12-14,0.05,0
