k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_original_ensembleA,wis_original_ensembleB,wis_original_ensembleC,wis_original_ensembleD,wis_original_ensembleE,wis_original_ensembleF,wis_rel_original2,wis_rel_originalA,wis_rel_originalB,wis_rel_originalC,wis_rel_originalD,wis_rel_originalE,wis_rel_originalF
15,2023-12-02,2461.5035367036508,2556.4651573936967,2507.8187619253445,2769.446674924882,2811.304013818097,2567.2995671283643,3203.436446015771,2563.063722741719,0.9628543262498993,0.9815316697024247,0.8888069804667448,0.875573585995997,0.9587909288891242,0.7683946843287968,0.9603754736423685
15,2023-12-09,2509.220484776811,2566.262435692873,2493.2387693647156,2822.8125686554304,2789.8200365729735,2609.8362299708024,3188.3291055260133,2598.091265005397,0.9777723625913337,1.0064100220197394,0.8889079326906957,0.8994201962428903,0.9614474869961028,0.7870017183696091,0.9657938189371492
15,2023-12-16,2541.9989910541785,2553.2080174645625,2448.7185969003754,2865.2526002999584,2729.3799399803747,2642.2948584874825,3125.2165915819924,2618.763495688321,0.9956098264090856,1.0380935540212253,0.8871814620421463,0.9313466966685687,0.9620421365499247,0.813383302104963,0.9706867364080292
15,2023-12-23,2603.0682914003187,2526.1590500712823,2382.723138113509,2887.1908484736855,2640.3427956081914,2665.5451264443595,3023.815225687863,2640.517930419261,1.030445130256888,1.0924761881740341,0.9015920415432294,0.985882702704409,0.9765613290789114,0.8608556069454171,0.9858173131159174
15,2023-12-30,2684.3024215251426,2485.3414186921905,2301.992947305369,2834.2685032554796,2551.0713791057015,2637.8359562916,2918.352179576619,2657.172158374281,1.0800537911357253,1.166077604480627,0.9470882587312798,1.0522255251306007,1.0176153733603919,0.9198007150441208,1.0102102014976178
15,2024-01-06,2614.9455122216987,2357.0163872784087,2197.164058777527,2532.347609061791,2464.2009505776364,2418.5220684400433,2822.9522228271753,2530.846359267317,1.1094303486116677,1.190145770760796,1.0326171268369073,1.0611738103618238,1.0812163123689622,0.9263158940758981,1.0332296556234764
15,2024-01-13,2615.9767677612163,2268.196087080175,2138.5865583956843,2295.458214635293,2380.676716094007,2269.160646226042,2728.1190852230193,2452.236980718326,1.1533291952411115,1.2232269755420415,1.1396316217312836,1.0988374650268633,1.1528389460270176,0.9588939067692364,1.0667716001064982
15,2024-01-20,2567.9251489311127,2226.9565915086005,2088.106070988476,2217.45987046069,2292.966449396985,2232.78184224256,2615.6851404995737,2424.6843307987187,1.1531096558965843,1.2297867357454204,1.1580480815635286,1.1199139654251975,1.1501012326183833,0.9817409248426058,1.0590760687125027
15,2024-01-27,2332.6194501710897,2191.1197691934085,2032.2448967117405,2197.8632152164746,2201.629430307138,2221.115684706273,2478.227197240497,2402.200854489326,1.0645787067266386,1.1478043093848425,1.0613123846933044,1.0594968517684096,1.0502016919841626,0.9412451984904607,0.9710343103957357
15,2024-02-03,2108.7156191127283,2141.373615796607,1975.575211718717,2163.44882504943,2114.5654635155934,2194.4441481011268,2334.0169986150995,2358.785794410512,0.9847490431174807,1.0673932364631067,0.9747009472546913,0.9972335477412275,0.9609338296157685,0.9034705489994054,0.8939835164810803
15,2024-02-10,1897.4427129413846,2077.7289305682484,1909.904489243729,2131.3491640203433,2019.968510798288,2158.0880541742686,2174.2864367454426,2285.992660554321,0.9132291922327151,0.9934751835117792,0.8902542788260261,0.9393427188582849,0.8792239544031892,0.8726737567206423,0.8300300983824163
15,2024-02-17,1724.1623951189504,1996.1237485950267,1848.8888412235442,2073.8981921236377,1930.964874405881,2084.1829876357,2023.848151201405,2170.4543183995784,0.8637552638369758,0.9325397810167683,0.8313630831383465,0.892901998359468,0.8272605646181013,0.851922805619308,0.7943785688105571
15,2024-02-24,1541.6203870046456,1904.972180204209,1798.7866241717588,1977.0076220013623,1852.9177066570155,1978.4265016224551,1901.8408965981998,2026.5678341817195,0.8092613650869102,0.857033494850717,0.7797746300259754,0.8319961439550361,0.7792153945271172,0.8105937724665211,0.7607050506785112
15,2024-03-02,1414.245221148587,1798.5180658911352,1734.7933032210794,1855.7444225670324,1770.2004520853625,1843.6901873024358,1793.3460356993603,1865.7779276415652,0.7863391800003146,0.815224049183661,0.7620905141626539,0.7989181222287867,0.7670731399931222,0.7886069910635326,0.7579922563111583
15,2024-03-09,1306.108758151682,1659.5995961939038,1622.47740437354,1688.4982988707488,1660.642963928313,1686.1644826227812,1674.1411285658237,1691.823743802908,0.7870023354712116,0.8050089046731519,0.7735327651944895,0.7865078686522916,0.7746034100540813,0.7801664602019414,0.7720123109371844
15,2024-03-16,1192.660713085986,1523.853535908915,1503.8962055724098,1527.2879438089897,1555.0329768287045,1531.3238649561754,1561.9171938521013,1527.434202734292,0.782660987412162,0.7930472253781888,0.780901019955374,0.7669681163407019,0.7788428956013942,0.7635876714722429,0.7808262450526372
15,2024-03-23,1130.7470286862736,1421.8101850378491,1423.1831412426457,1405.2544613209118,1484.1670569251899,1405.736362530026,1484.5706876686218,1395.1867069529364,0.7952869100147659,0.7945196903463648,0.8046564233095502,0.761873148585368,0.8043805786251198,0.7616660076065527,0.8104628742885641
15,2024-03-30,1087.7457982675817,1353.1136755417317,1373.6878971006226,1312.6236712908994,1445.233551193227,1320.322654458297,1440.423456708131,1298.5563388842925,0.803883530208275,0.7918434751907145,0.8286806203927728,0.7526436106949683,0.8238484696105308,0.7551569597134022,0.8376577632374139
15,2024-04-06,1008.9983059093398,1257.7456866030204,1282.8758468175195,1188.6769416879965,1357.5834840466914,1217.849914564749,1361.886304036375,1203.395576453038,0.8022276018568512,0.7865128246138561,0.8488414896620257,0.7432311292574898,0.8285079251903948,0.7408829231330535,0.8384593774919161
15,2024-04-13,883.9648403662187,1094.9101071587274,1123.8397053800104,1014.5794257935285,1187.924836469915,1054.503806869526,1207.707686932716,1042.3136545468114,0.8073401045315876,0.7865577592022508,0.8712623357948022,0.7441252284892402,0.8382756274635165,0.7319360884513989,0.8480794974815509
15,2024-04-20,721.0923272796623,931.758139695007,963.7970733825402,849.8791355535034,1015.6731884604799,888.5792927757467,1040.4008901894422,885.1163822998362,0.7739050474146627,0.7481785815648082,0.8484645605637021,0.7099649133917452,0.811511514101473,0.6930908403474757,0.814686454459262
25,2023-11-04,2540.6893900584682,2347.767056532496,2342.2838502107306,2472.13542465291,2627.274913905907,2306.0118206467832,2970.7602780118023,2320.3700993836223,1.0821726895729196,1.0847060187986557,1.0277306674714972,0.9670435996670352,1.1017677217915836,0.8552320457707341,1.0949500645321066
25,2023-11-11,2404.628135167052,2414.5660413037785,2403.9390504030757,2550.1659599103714,2697.2688392174546,2377.2691283354516,3054.3793012474252,2389.601860391521,0.9958841854119009,1.0002866481843042,0.9429300574820493,0.8915048067157795,1.0115085862620683,0.7872722730228654,1.0062881917798092
25,2023-11-18,2387.735398017571,2476.6204708879254,2458.5301616806987,2628.5379498630023,2758.8446875248205,2447.770048320282,3129.1293772179542,2456.687555220314,0.9641103374880499,0.9712044355743307,0.9083891667388778,0.8654838051647621,0.9754737376805847,0.7630670100769238,0.9719328747946705
25,2023-11-25,2443.3439841918757,2526.0605780507794,2495.965961605348,2702.8465736291323,2800.3210787345924,2512.7893013669864,3182.7317578823136,2516.4502002411086,0.9672547069624389,0.9789171894877816,0.9039891527809436,0.8725227984556587,0.9723632549942283,0.7676876878300286,0.9709486736346984
25,2023-12-02,2494.950749422392,2556.4651573936967,2507.8187619253445,2769.446674924882,2811.304013818097,2567.2995671283643,3203.436446015771,2563.063722741719,0.9759377092258054,0.9948688427176958,0.9008841990034219,0.8874709875414513,0.9718190979220639,0.7788357257798737,0.9734251736642481
25,2023-12-09,2564.5201423646813,2566.262435692873,2493.2387693647156,2822.8125686554304,2789.8200365729735,2609.8362299708024,3188.3291055260133,2598.091265005397,0.9993210774923253,1.028589870282712,0.9084982017017943,0.9192421406202775,0.9826364248125148,0.8043461190753031,0.9870785437398228
25,2023-12-16,2577.410754056558,2553.2080174645625,2448.7185969003754,2865.2526002999584,2729.3799399803747,2642.2948584874825,3125.2165915819924,2618.763495688321,1.0094793438006002,1.0525548984350765,0.8995404990773703,0.9443209852546547,0.9754440333475629,0.8247142809234435,0.9842090583209027
25,2023-12-23,2618.27533856429,2526.1590500712823,2382.723138113509,2887.1908484736855,2640.3427956081914,2665.5451264443595,3023.815225687863,2640.517930419261,1.0364649599123255,1.0988584014159852,0.9068591153052602,0.9916421999898622,0.9822663711782198,0.8658846996739624,0.9915764283973487
25,2023-12-30,2652.7857684040737,2485.3414186921905,2301.992947305369,2834.2685032554796,2551.0713791057015,2637.8359562916,2918.352179576619,2657.172158374281,1.0673727756084288,1.152386575080228,0.935968404319156,1.0398712439532087,1.0056674533064942,0.9090012463091166,0.99834922627938
25,2024-01-06,2558.1884263719303,2357.0163872784087,2197.164058777527,2532.347609061791,2464.2009505776364,2418.5220684400433,2822.9522228271753,2530.846359267317,1.0853502929293632,1.1643137963012524,1.010204293130086,1.0381411571861712,1.05774863903639,0.9062103161667805,1.010803527051136
