k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_original_ensembleA,wis_original_ensembleB,wis_original_ensembleC,wis_original_ensembleD,wis_original_ensembleE,wis_original_ensembleF,wis_rel_original2,wis_rel_originalA,wis_rel_originalB,wis_rel_originalC,wis_rel_originalD,wis_rel_originalE,wis_rel_originalF
15,2024-11-30,8755.280514072294,9525.863198410632,9795.3911551506,11212.197616781634,9364.992825594536,10325.903897053853,8956.259889290477,9387.42408662582,0.9191062617331196,0.8938163239625814,0.7808710489519023,0.9348945244404355,0.8478948285166896,0.9775598991428882,0.932660592861237
15,2024-12-07,9127.922869848111,9742.669193534617,9936.110195335128,11610.93247671797,9442.004824265825,10665.209665551125,8970.127321765305,9659.926540675315,0.9369016527735068,0.9186615979896791,0.7861489926111668,0.9667356710504397,0.8558596742201434,1.01759122723932,0.9449267374252711
15,2024-12-14,9757.163042267543,9960.507297161148,10067.623546018724,12041.346996280465,9494.82388210985,11026.297125316381,8940.059146389776,9939.5981412918,0.9795849499601731,0.9691624838441686,0.8103049472190694,1.027629702605858,0.8848993394042587,1.0913980413885442,0.9816456262686946
15,2024-12-21,10795.706804084299,10211.012612792125,10235.295479404413,12519.85347792244,9572.634823107473,11431.409493209958,8916.4805164764,10251.922685847918,1.0572611369179665,1.0547528232875691,0.8622869926650094,1.1277675377341712,0.9443898244128814,1.2107587499502022,1.0530421594953148
15,2024-12-28,11473.19649150387,10554.065012697252,10538.566417687378,13016.852984712239,9796.579072921551,11889.660352566236,9035.449583725724,10655.775430058397,1.0870879114067271,1.0886866426393496,0.8814109297369087,1.171143151716767,0.9649726023525578,1.2697980753684814,1.076711551103043
15,2025-01-04,11264.690730633592,10900.412702406846,10886.278908837667,13354.000479771126,10144.546251512471,12222.53730999446,9374.774765504018,10983.541655756553,1.033418737269123,1.034760437883759,0.843544280809151,1.1104183914538432,0.9216327547163525,1.2015958796240973,1.0255973058316474
15,2025-01-11,10735.904507756773,10867.276394192555,10870.024739440374,13193.237892404875,10166.682470245563,12111.371757807552,9450.420185266914,10925.471556557817,0.9879112408969384,0.9876614603095645,0.8137429640329045,1.0559889658378856,0.8864317537636405,1.1360240388563794,0.9826490739717995
15,2025-01-18,11208.33070565964,11078.650022411312,11067.063594797743,13352.672348196766,10392.159148865587,12303.925181227092,9700.579595113388,11166.208335969428,1.011705458967112,1.0127646425496555,0.8394073046488921,1.078537245735228,0.910955694265837,1.1554289716158583,1.0037723073421911
15,2025-02-01,11012.931682033013,10855.354372649348,10896.275337892454,12783.388365912646,10340.011990655059,11862.414806500763,9792.581652169682,10904.763633865025,1.0145160907672153,1.0107060752893129,0.8615033328252298,1.0650791983593555,0.9283886849073747,1.124619847269075,1.0099193390888428
15,2025-02-08,9446.795442767572,9802.761959055539,9938.207602617511,11317.58856640009,9471.835217403992,10511.74259961238,9022.140134914132,9723.130944784363,0.9636871202448067,0.9505532406346079,0.8347003769701815,0.9973563967212594,0.898689760831465,1.0470681347777004,0.9715795762099634
15,2025-02-15,7654.494653428424,8287.017379645888,8506.184440124676,9324.757096561785,8143.849818039998,8642.00542025876,7812.779943438064,8027.612741033644,0.9236730542196,0.8998740513221496,0.8208787182510933,0.9399110770034621,0.8857312951325633,0.9797402088430016,0.953520666773323
15,2025-02-22,6310.862669196012,6958.820070080151,7277.323117837765,7567.099614244405,7016.551158597095,7004.7267543428725,6774.438322638983,6581.726593332284,0.9068868868057001,0.8671956112168746,0.8339869951383174,0.8994251629539632,0.9009434472634252,0.9315698761484354,0.9588460686880134
15,2025-03-01,5208.963716212887,5834.600642994391,6203.01815071056,6107.069992013706,6022.718861096772,5673.288405413351,5865.6050058761775,5393.429126399399,0.8927712511853393,0.8397466506874879,0.8529399078485618,0.8648857495008998,0.9181559871418817,0.8880522488293253,0.965798121035168
15,2025-03-08,4154.552321788977,4749.871828774115,5157.402931939308,4796.002517372504,5038.653066596286,4485.685931593389,4924.598977465673,4315.943582589276,0.8746661955426315,0.8055512389889546,0.8662531570281687,0.824536293108083,0.9261799388423103,0.8436326167470022,0.9626057992390449
15,2025-03-15,3210.42427431025,3783.499334387025,4174.283795776,3673.7069236168036,4108.199642467749,3498.013193592242,4022.1967757998195,3407.7583206590807,0.8485330617430594,0.7690958332921471,0.8738923221315523,0.7814674440655431,0.9177850673036897,0.7981768305385438,0.942092710873151
15,2025-03-22,2423.588658332656,2975.5022530880306,3322.534446056862,2798.5308553068858,3273.1580759318067,2713.2574525920677,3211.0475236069656,2662.2345938373282,0.8145141398624086,0.7294397387539315,0.8660217748669011,0.7404435111624439,0.8932394734665959,0.7547657393778595,0.9103587880432845
15,2025-03-29,1828.7427922831519,2329.8807442587067,2629.3982686929216,2144.144435817883,2595.569922918195,2096.6966443880888,2557.755724322051,2070.5534688093708,0.784908324938751,0.6954985914675539,0.8529009341600529,0.7045631004334876,0.872201897769938,0.7149794544073874,0.8832144737294482
