n_bootstrap,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_rel_original2
4,75,2025-01-04,9007.115294576819,8903.971022927331,1.0115840753955618
4,75,2025-01-11,8896.97375534689,8810.175582901862,1.009852036617009
4,75,2025-01-18,9040.997036985102,8888.632015939547,1.0171415602279772
4,75,2025-01-25,9104.869434878798,8866.955696344045,1.0268315018910998
4,75,2025-02-01,8836.902952982424,8522.692500824232,1.0368675101357703
4,75,2025-02-08,7832.372438234955,7611.7971642968905,1.0289780808890536
4,75,2025-02-15,6457.543644745334,6307.890879524009,1.023724691514102
4,75,2025-02-22,5274.433220757941,5186.126196119281,1.0170275502946184
4,75,2025-03-01,4268.723177475918,4240.318633197309,1.006698681569878
4,75,2025-03-08,3374.493682615599,3383.385660491156,0.9973718698464111
4,75,2025-03-15,2638.1720707287413,2669.3621732435245,0.9883155224017862
4,75,2025-03-22,2043.7404037571744,2102.834818135379,0.9718977382966273
4,75,2025-03-29,1606.8738551792046,1674.5590343090294,0.9595802968166162
4,75,2025-04-05,1303.2957478555895,1374.310474688291,0.9483270133345899
4,75,2025-04-12,1120.935285263608,1181.6349588510798,0.9486307737150135
4,75,2025-04-19,1021.9074576290933,1069.845133881042,0.9551919481298692
4,75,2025-04-26,949.7483233508625,987.4869910043518,0.9617831242362939
4,75,2025-05-03,869.8503625435493,901.0199440841294,0.9654063356252747
4,75,2025-05-10,833.732694367546,862.1136603740201,0.9670797862150087
4,75,2025-05-17,813.1372776297034,841.3410829708458,0.9664775607515177
4,75,2025-05-24,835.8549316454662,867.2921805994552,0.9637524127886635
5,5,2024-11-30,7513.990155251014,8007.167222801649,0.9384080469624467
5,5,2024-12-07,7999.363093249094,8164.939656812363,0.9797210303415873
5,5,2024-12-14,8628.53801438467,8317.168372365577,1.0374369771151493
5,5,2024-12-21,9445.30027903141,8478.847266362025,1.113984010126421
5,5,2024-12-28,10055.285047465679,8686.71335303425,1.1575476982849202
5,5,2025-01-04,9203.456323206072,8878.543708946367,1.036595259865907
5,5,2025-01-11,8547.677993948655,8783.438886781065,0.973158475185929
5,5,2025-01-18,8862.103912226585,8861.237528992504,1.0000977722616335
5,5,2025-01-25,8681.417295371002,8837.492930098031,0.9823393765673657
5,5,2025-02-01,8326.43038153718,8494.079524643741,0.9802628239328155
5,5,2025-02-08,7051.020384909964,7585.903049836628,0.9294899155166262
5,5,2025-02-15,5799.802593174523,6277.569827309804,0.9238929637935985
5,5,2025-02-22,4649.686980743328,5147.7363681815,0.9032488550663454
5,5,2025-03-01,3849.566265138935,4196.918741145831,0.9172363113439593
5,5,2025-03-08,2990.781020791797,3340.51590630269,0.8953051279142141
5,5,2025-03-15,2307.2715684194454,2632.881950596462,0.8763292892401606
5,5,2025-03-22,1766.854430108572,2078.4290401121075,0.8500912929956321
5,5,2025-03-29,1358.6232193487035,1660.1288689996225,0.8183841897571462
5,5,2025-04-05,1111.8059095895162,1365.9714695424573,0.8139305500735855
5,5,2025-04-12,966.5409645059051,1176.2167109846782,0.821737147142518
5,5,2025-04-19,914.8782989951279,1065.5835675882195,0.8585702021154575
5,5,2025-04-26,870.1280192845162,983.6438995396676,0.8845965696444869
5,5,2025-05-03,818.3026690132172,896.2612741309,0.9130179922218787
5,5,2025-05-10,800.0827606626348,856.9633759859822,0.9336253836310061
5,5,2025-05-17,798.1292591091418,835.767011693419,0.9549662141988398
5,5,2025-05-24,824.3103231400595,860.6559731376012,0.9577698277454111
5,15,2024-11-30,7614.293983579724,8007.167222801649,0.950934802747324
5,15,2024-12-07,7820.228908166812,8164.939656812363,0.9577815926223112
5,15,2024-12-14,8230.240996410117,8317.168372365577,0.9895484410001506
5,15,2024-12-21,8929.983503597492,8478.847266362025,1.053207260735224
5,15,2024-12-28,9496.946965933816,8686.71335303425,1.0932727465464889
5,15,2025-01-04,9461.81700037245,8878.543708946367,1.0656947029317831
5,15,2025-01-11,8958.454144175068,8783.438886781065,1.0199255963011706
5,15,2025-01-18,9103.911442522764,8861.237528992504,1.0273860070601053
5,15,2025-01-25,9132.853375515631,8837.492930098031,1.0334212935448792
5,15,2025-02-01,8692.650019420438,8494.079524643741,1.0233775177405142
5,15,2025-02-08,7566.932095383223,7585.903049836628,0.9974991831125744
5,15,2025-02-15,6003.3971215870115,6277.569827309804,0.956325024927634
5,15,2025-02-22,4936.592970962322,5147.7363681815,0.9589832535861259
5,15,2025-03-01,4024.9788824346715,4196.918741145831,0.9590318828369271
5,15,2025-03-08,3162.3624102611107,3340.51590630269,0.9466688676124997
5,15,2025-03-15,2433.6209765334847,2632.881950596462,0.9243183029843643
5,15,2025-03-22,1831.1862966557821,2078.4290401121075,0.8810434522012888
5,15,2025-03-29,1409.8550730534675,1660.1288689996225,0.8492443564956692
5,15,2025-04-05,1139.8396446660747,1365.9714695424573,0.8344534787742476
5,15,2025-04-12,994.2230248396302,1176.2167109846782,0.8452719771404279
5,15,2025-04-19,932.9759913005403,1065.5835675882195,0.8755540341262811
5,15,2025-04-26,885.57572722983,983.6438995396676,0.9003011431721051
5,15,2025-05-03,823.0071303208408,896.2612741309,0.9182669764672212
5,15,2025-05-10,802.2325257552221,856.9633759859822,0.9361339681899599
5,15,2025-05-17,793.0484283701171,835.767011693419,0.9488869712185144
5,15,2025-05-24,819.1362497124727,860.6559731376012,0.9517580488359774
5,25,2024-11-30,7563.019427022362,8007.167222801649,0.9445312201655403
5,25,2024-12-07,7974.138901458256,8164.939656812363,0.9766317004933511
5,25,2024-12-14,8328.727057039021,8317.168372365577,1.0013897379680143
5,25,2024-12-21,8750.201093427533,8478.847266362025,1.0320036224902935
5,25,2024-12-28,9332.196990658493,8686.71335303425,1.0743070032809101
5,25,2025-01-04,9324.587979174343,8878.543708946367,1.0502384495532218
5,25,2025-01-11,9080.861852113032,8783.438886781065,1.0338617902584355
5,25,2025-01-18,9255.459985751579,8861.237528992504,1.0444884199830153
5,25,2025-01-25,9305.306022918558,8837.492930098031,1.0529350457783435
5,25,2025-02-01,8944.379344460634,8494.079524643741,1.0530133746111565
5,25,2025-02-08,7729.481242380865,7585.903049836628,1.0189269743629705
5,25,2025-02-15,6269.839243074266,6277.569827309804,0.9987685387103291
5,25,2025-02-22,5085.24712016042,5147.7363681815,0.9878608297799921
5,25,2025-03-01,4137.724048099338,4196.918741145831,0.9858956780682555
5,25,2025-03-08,3237.663665472564,3340.51590630269,0.9692106717300552
5,25,2025-03-15,2486.5277090045633,2632.881950596462,0.9444129116541883
5,25,2025-03-22,1871.9308483617153,2078.4290401121075,0.900646984927013
5,25,2025-03-29,1432.8242773973577,1660.1288689996225,0.8630801524828393
5,25,2025-04-05,1151.481234123584,1365.9714695424573,0.8429760502313285
5,25,2025-04-12,1000.1490056529136,1176.2167109846782,0.85031014804715
5,25,2025-04-19,933.0546576992216,1065.5835675882195,0.8756278588370537
5,25,2025-04-26,889.1825513429332,983.6438995396676,0.9039679418121324
5,25,2025-05-03,833.4438489482629,896.2612741309,0.9299117043257829
5,25,2025-05-10,811.096460261641,856.9633759859822,0.94647739097185
5,25,2025-05-17,799.5704028552823,835.767011693419,0.9566905509170603
5,25,2025-05-24,827.0482424156055,860.6559731376012,0.9609510283191603
5,50,2024-11-30,7712.860390827426,8007.167222801649,0.9632445752929778
5,50,2024-12-07,7991.923579386295,8164.939656812363,0.9788098767782426
5,50,2024-12-14,8280.055804960486,8317.168372365577,0.9955378362270024
5,50,2024-12-21,8641.672119184737,8478.847266362025,1.0192036544246628
5,50,2024-12-28,9046.103201325446,8686.71335303425,1.0413723618686763
5,50,2025-01-04,9276.231709859461,8878.543708946367,1.0447920305345086
5,50,2025-01-11,9159.305473049217,8783.438886781065,1.042792645467577
5,50,2025-01-18,9266.790209536819,8861.237528992504,1.045767047685768
5,50,2025-01-25,9359.00039463134,8837.492930098031,1.059010792841169
5,50,2025-02-01,9052.758702524798,8494.079524643741,1.0657727745849528
5,50,2025-02-08,8008.18362303674,7585.903049836628,1.055666486959546
5,50,2025-02-15,6550.741733911646,6277.569827309804,1.0435155504624483
5,50,2025-02-22,5319.703876514605,5147.7363681815,1.0334064326596146
5,50,2025-03-01,4284.952616889498,4196.918741145831,1.020975835171789
