n_bootstrap,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_rel_original2
2,5,2025-01-25,0.6206739466104928,0.7208121075030731,0.8610759172186166
2,5,2025-02-01,0.6370452211746862,0.731327851588669,0.8710802136016399
2,5,2025-02-08,0.6573122711080651,0.7274224820122341,0.9036183062280032
2,5,2025-02-15,0.6733411182026163,0.7233388808009704,0.9308791993277199
2,5,2025-02-22,0.685192043265062,0.7259067442744388,0.9439119400246486
2,5,2025-03-01,0.7012099886401456,0.7319670580890658,0.9579802545633445
2,5,2025-03-08,0.708967527682801,0.7335953736456267,0.966428569688987
2,5,2025-03-15,0.7120152291142361,0.7356079439256048,0.9679275964782746
2,5,2025-03-22,0.7251203217254343,0.7383413180318026,0.9820936523752842
2,5,2025-03-29,0.7351947043175646,0.7398949521510152,0.9936474119470797
2,5,2025-04-05,0.7421942709796387,0.7427235121727506,0.9992874317502571
2,5,2025-04-12,0.7470569013461602,0.7449615197612712,1.0028127380130458
2,5,2025-04-19,0.7552402003523433,0.7517074024581599,1.0046996981573293
2,5,2025-04-26,0.7572650818371168,0.7587792088283868,0.9980045222989071
2,5,2025-05-03,0.7550092151239823,0.7605160988444858,0.9927590175554857
2,5,2025-05-10,0.766753452724869,0.770859735875058,0.9946731124235881
2,5,2025-05-17,0.7897769248033355,0.7885703050130033,1.0015301359722293
2,5,2025-05-24,0.8295630453065383,0.8254458845955117,1.0049878020932217
2,15,2024-11-30,0.5793083101187334,0.6402830547857115,0.9047690795325125
2,15,2024-12-07,0.5828002113745294,0.6354035516508958,0.9172127065709765
2,15,2024-12-14,0.5912329728651428,0.6324517579627322,0.9348269894444371
2,15,2024-12-21,0.6028362113383613,0.6335429506434432,0.9515317165570301
2,15,2024-12-28,0.6248624458841369,0.6502552809297042,0.9609494366439256
2,15,2025-01-04,0.6112865449772732,0.6716371517653572,0.910144031446956
2,15,2025-01-11,0.606916437448694,0.6866383621542841,0.883895323798298
2,15,2025-01-18,0.628292694059144,0.7043961100172753,0.8919593466291788
2,15,2025-01-25,0.6502871270334563,0.7208121075030731,0.9021589957556087
2,15,2025-02-01,0.6747134418127828,0.731327851588669,0.9225868266155839
2,15,2025-02-08,0.6851880599009281,0.7274224820122341,0.9419396249694195
2,15,2025-02-15,0.6872234714731622,0.7233388808009704,0.9500712455995497
2,15,2025-02-22,0.6919126467025416,0.7259067442744388,0.9531701587841354
2,15,2025-03-01,0.7015873914829667,0.7319670580890658,0.9584958554208561
2,15,2025-03-08,0.701215305934194,0.7335953736456267,0.9558611342509988
2,15,2025-03-15,0.6955018358049934,0.7356079439256048,0.9454789627385162
2,15,2025-03-22,0.703652741652921,0.7383413180318026,0.9530182375932165
2,15,2025-03-29,0.7132732089975251,0.7398949521510152,0.9640195637555093
2,15,2025-04-05,0.7224278272607147,0.7427235121727506,0.9726739700852297
2,15,2025-04-12,0.7348527508195867,0.7449615197612712,0.9864304817449846
2,15,2025-04-19,0.7507245270044671,0.7517074024581599,0.9986924760212834
2,15,2025-04-26,0.7615014001461751,0.7587792088283868,1.003587593447627
2,15,2025-05-03,0.768047825439723,0.7605160988444858,1.0099034413691976
2,15,2025-05-10,0.7823243012061866,0.770859735875058,1.0148724402087421
2,15,2025-05-17,0.8063036032791028,0.7885703050130033,1.0224879102768232
2,15,2025-05-24,0.8360207911262625,0.8254458845955117,1.012811144531822
2,25,2024-11-30,0.5830291254967894,0.6402830547857115,0.9105802834215507
2,25,2024-12-07,0.5898025945739007,0.6354035516508958,0.9282330780831877
2,25,2024-12-14,0.5909046228299543,0.6324517579627322,0.9343078193558817
2,25,2024-12-21,0.6060923227144464,0.6335429506434432,0.9566712439920335
2,25,2024-12-28,0.6242941731043427,0.6502552809297042,0.9600755140531214
2,25,2025-01-04,0.6211641083777651,0.6716371517653572,0.9248507274278578
2,25,2025-01-11,0.6236093721647902,0.6866383621542841,0.9082064250069797
2,25,2025-01-18,0.6483813287641125,0.7043961100172753,0.9204782927438525
2,25,2025-01-25,0.6648582576400885,0.7208121075030731,0.9223738762424353
2,25,2025-02-01,0.6836463322037187,0.731327851588669,0.9348014446853469
2,25,2025-02-08,0.6958015019532379,0.7274224820122341,0.9565301034255572
2,25,2025-02-15,0.7011995682855617,0.7233388808009704,0.9693928902440675
2,25,2025-02-22,0.7028061404709333,0.7259067442744388,0.9681768987742425
2,25,2025-03-01,0.7061022486189469,0.7319670580890658,0.9646639706196017
2,25,2025-03-08,0.704608650840323,0.7335953736456267,0.9604867698916186
2,25,2025-03-15,0.6975980299584926,0.7356079439256048,0.948328570564001
2,25,2025-03-22,0.6993506513617695,0.7383413180318026,0.9471915417466132
2,25,2025-03-29,0.7069715084133779,0.7398949521510152,0.9555025431084202
2,25,2025-04-05,0.7181488945961975,0.7427235121727506,0.9669128320649727
2,25,2025-04-12,0.7333223941388309,0.7449615197612712,0.9843762055976124
2,25,2025-04-19,0.7481002776582286,0.7517074024581599,0.9952014243997922
2,25,2025-04-26,0.7586736385366935,0.7587792088283868,0.999860868233519
2,25,2025-05-03,0.7643619330128033,0.7605160988444858,1.0050568741071502
2,25,2025-05-10,0.7786272011274702,0.770859735875058,1.010076366543642
2,25,2025-05-17,0.8011665931344824,0.7885703050130033,1.0159735765364273
2,25,2025-05-24,0.8310859528997339,0.8254458845955117,1.006832753557171
2,50,2024-11-30,0.5926815988441161,0.6402830547857115,0.9256556056172274
2,50,2024-12-07,0.5954948648550561,0.6354035516508958,0.9371915899869467
2,50,2024-12-14,0.5982373752095214,0.6324517579627322,0.9459019880608396
2,50,2024-12-21,0.6065675969181653,0.6335429506434432,0.9574214286531307
2,50,2024-12-28,0.6222768487432202,0.6502552809297042,0.9569731565324902
2,50,2025-01-04,0.6293741296808198,0.6716371517653572,0.9370746213584945
2,50,2025-01-11,0.639617643662072,0.6866383621542841,0.9315204027565724
2,50,2025-01-18,0.6655843210207572,0.7043961100172753,0.9449006199146013
2,50,2025-01-25,0.687694006522324,0.7208121075030731,0.9540544607450175
2,50,2025-02-01,0.701826894469708,0.731327851588669,0.9596611054059054
2,50,2025-02-08,0.7080609384616496,0.7274224820122341,0.9733833583242772
