horizon,k_perc,round,wis_adaptive,wis_baseline,wis_flusight,wis_adaptive_baseline,wis_adaptive_flusight
0,15,21,1012.3642173913041,1929.5504347826086,761.7869565217391,0.5246632578978747,1.3289335144482937
0,15,22,693.4488130434784,1302.1199999999997,577.8960869565218,0.5325536917054331,1.1999541590522143
0,15,23,675.8492565217389,763.9521739130433,511.845652173913,0.8846748259907004,1.3204161325807284
0,15,24,752.6990304347823,665.3608695652174,482.99,1.1312643482124767,1.5584153511144792
0,15,25,571.3485913043477,653.7695652173912,334.79478260869564,0.8739296255162368,1.706563605479281
0,25,4,876.9250521739134,1652.431304347826,987.186956521739,0.5306877507504096,0.8883069679766402
0,25,5,1249.6292260869564,2485.357391304348,1688.567391304348,0.5027965919344641,0.7400529185404142
0,25,6,2504.7582478260865,5360.74,3368.9952173913034,0.4672411360793634,0.743473375947854
0,25,7,7695.7082086956525,13855.338260869563,10670.385652173913,0.5554327194183326,0.7212211872705633
0,25,8,11489.697030434776,11629.381739130436,9895.610869565216,0.9879886384479365,1.161090222916132
0,25,9,4693.587054672454,4624.246956521739,5414.1434782608685,1.0149948951262047,0.8669122038450536
0,25,10,5557.990651406024,2357.3539130434783,3958.3282608695654,2.3577243199050844,1.4041257533767664
0,25,12,23309.085469565216,13752.23652173913,13619.302608695652,1.6949305251345044,1.7114742317776852
0,25,13,26633.610548320194,5165.332173913043,6492.5160869565225,5.156224159760797,4.102201702946439
0,25,14,19577.440308664805,2205.430434782609,3361.3052173913043,8.876924885003035,5.8243566241386375
0,25,15,14869.707380492468,3140.369565217391,2722.7486956521743,4.7350183065040365,5.461285282860362
0,25,16,12413.80135274671,3294.6739130434776,2491.682608695652,3.7678391489977154,4.982095757069596
0,25,17,9038.400671982872,3578.1982608695657,1774.2460869565216,2.5259641900855376,5.0942204344872035
0,25,18,5558.6633532455935,2772.389565217391,1540.862608695652,2.005008034579629,3.607500968532834
0,25,19,3260.685508695653,2687.898260869565,1188.4343478260869,1.2130985596310422,2.7436816469165324
0,25,20,2261.297965217391,2093.5895652173913,961.3726086956522,1.080105672470996,2.352155599986794
0,25,21,1488.0130130434782,1929.5504347826086,761.7869565217391,0.7711708314124083,1.953319100969688
0,25,22,1062.3129217391306,1302.1199999999997,577.8960869565218,0.8158333500285158,1.8382421091199637
0,25,23,973.4665652173915,763.9521739130433,511.845652173913,1.2742506644508822,1.9018752256327278
0,25,24,1014.9749826086952,665.3608695652174,482.99,1.525450366914325,2.1014409876160896
0,25,25,776.0563347826086,653.7695652173912,334.79478260869564,1.187048734097242,2.3180060595199135
0,50,4,1424.1222521739128,1652.431304347826,987.186956521739,0.8618344668409552,1.442606431097585
0,50,5,2109.2812869565214,2485.357391304348,1688.567391304348,0.8486832897097117,1.2491543410222967
0,50,6,3753.63544347826,5360.74,3368.9952173913034,0.7002084494823961,1.1141706061502792
0,50,7,8844.072899999996,13855.338260869563,10670.385652173913,0.6383151918403571,0.8288428542597394
0,50,8,14217.621793523964,11629.381739130436,9895.610869565216,1.2225604174368652,1.4367603961925641
0,50,9,7659.121452173911,4624.246956521739,5414.1434782608685,1.656295938384515,1.4146506244112642
0,50,10,8862.0549173913,2357.3539130434783,3958.3282608695654,3.7593230563966875,2.23883779549008
0,50,12,25856.18366701358,13752.23652173913,13619.302608695652,1.8801439043126467,1.8984954229965436
0,50,13,28521.185139600224,5165.332173913043,6492.5160869565225,5.521655564310736,4.392932533028196
0,50,14,21180.881802691707,2205.430434782609,3361.3052173913043,9.603967311160972,6.301386048818888
0,50,15,16418.303663581606,3140.369565217391,2722.7486956521743,5.228143797287456,6.030047389169335
0,50,16,13590.416632067181,3294.6739130434776,2491.682608695652,4.124965623536607,5.454312914750207
0,50,17,10106.901946919692,3578.1982608695657,1774.2460869565216,2.8245785197110727,5.696448774057442
0,50,18,7117.293615569261,2772.389565217391,1540.862608695652,2.5672054551291654,4.619031947043018
0,50,19,4985.78192391751,2687.898260869565,1188.4343478260869,1.8548997915957406,4.19525229394255
0,50,20,3563.9147055938843,2093.5895652173913,961.3726086956522,1.7022986571982743,3.7071107220635775
0,50,21,2444.457728951686,1929.5504347826086,761.7869565217391,1.2668535037422275,3.2088469197646714
0,50,22,1772.8384782608694,1302.1199999999997,577.8960869565218,1.3615016114189704,3.067746119544584
0,50,23,1498.1608478260866,763.9521739130433,511.845652173913,1.9610662800425702,2.9269777743800143
0,50,24,1407.2534826086953,665.3608695652174,482.99,2.115022910091287,2.913628610548242
0,50,25,1054.8783434782606,653.7695652173912,334.79478260869564,1.6135323508482577,3.150820736388806
0,75,4,2412.1212345046506,1652.431304347826,987.186956521739,1.4597407033853402,2.4434289964724965
0,75,5,3338.7144941660454,2485.357391304348,1688.567391304348,1.3433538797467854,1.9772468136951453
0,75,6,4606.664962478146,5360.74,3368.9952173913034,0.8593337790077762,1.3673705853596316
0,75,7,8262.403410675633,13855.338260869563,10670.385652173913,0.596333575919285,0.774330345688331
0,75,8,14095.209143034828,11629.381739130436,9895.610869565216,1.212034264522197,1.4243899976287295
0,75,9,9125.106954459638,4624.246956521739,5414.1434782608685,1.9733173942170577,1.6854202314916864
0,75,10,10358.528657499406,2357.3539130434783,3958.3282608695654,4.394133863474897,2.6168948037735116
0,75,12,24172.72248467345,13752.23652173913,13619.302608695652,1.7577302751055743,1.774886951204069
0,75,13,28400.689375096084,5165.332173913043,6492.5160869565225,5.498327778130267,4.374373354600249
0,75,14,22069.133997036068,2205.430434782609,3361.3052173913043,10.006724151882596,6.565644167881855
0,75,15,17425.468633794768,3140.369565217391,2722.7486956521743,5.548859225614262,6.3999548183130734
0,75,16,14745.207066261572,3294.6739130434776,2491.682608695652,4.47546781728107,5.917770993304964
0,75,17,11323.161809510702,3578.1982608695657,1774.2460869565216,3.1644869803158904,6.381956760538246
0,75,18,8280.854686010223,2772.389565217391,1540.862608695652,2.9869015487226083,5.374168105110948
0,75,19,5935.764207563014,2687.898260869565,1188.4343478260869,2.2083291968211354,4.994608426137177
0,75,20,4196.106107930206,2093.5895652173913,961.3726086956522,2.004263957770776,4.364703206619645
0,75,21,2862.0752510897823,1929.5504347826086,761.7869565217391,1.4832860543560946,3.757054681216647
0,75,22,2009.91949547196,1302.1199999999997,577.8960869565218,1.54357470545876,3.477994644430214
0,75,23,1634.9492572808938,763.9521739130433,511.845652173913,2.1401199094787726,3.1942232005623774
0,75,24,1498.680071039274,665.3608695652174,482.99,2.2524319351971993,3.10292153261822
0,75,25,1133.5402683196448,653.7695652173912,334.79478260869564,1.733852917950869,3.3857763836317423
1,5,4,1196.4406521739133,3680.1482608695646,2259.7182608695653,0.3251066444511157,0.5294645234727224
1,5,5,2080.9095869565226,7746.9365217391305,5646.666956521739,0.26861064126666856,0.36851997877316484
1,5,6,7970.663499999999,17132.01217391304,12774.162173913042,0.4652496985810545,0.6239676145866861
1,5,7,15586.059673913043,24441.34956521739,18915.718260869562,0.6376922695010935,0.8239739807372531
1,5,8,2842.206673913044,3679.9952173913034,3210.639565217391,0.7723397738347726,0.8852462620545198
1,5,9,2679.4498260869564,2650.1786956521737,3945.4373913043482,1.0110449648104123,0.679126180532582
1,5,10,10589.740608695649,8418.079565217391,11515.993043478262,1.2579758276996253,0.9195681665241047
1,5,12,24374.77289130435,16058.192608695654,16716.246521739125,1.517902636072829,1.4581486854483434
1,5,13,17602.28913043478,1446.4760869565216,5579.763478260869,12.169084085911939,3.1546658203370934
1,5,14,12226.058173913043,8727.025652173912,4525.190869565217,1.40094216073119,2.701777345159306
1,5,15,10657.023847826087,8368.296086956521,3225.1243478260867,1.2734998543415494,3.3043761103380445
1,5,16,8857.148457534338,8449.416086956522,3024.3639130434785,1.0482556861186227,2.928598777195834
1,5,17,5453.961342890737,7686.43652173913,2400.386521739131,0.7095565451513969,2.2721179666261526
1,5,18,2392.0543562643857,6043.119565217391,1643.3873913043476,0.3958310489225502,1.4555632889247283
1,5,19,1140.7547826086957,5320.525652173913,1685.7404347826086,0.21440640590513738,0.6767084416266056
1,5,20,810.3295869565219,4013.9073913043467,1130.2243478260868,0.20188048899982214,0.7169634847410058
1,5,21,528.3647826086956,3143.623043478261,820.8743478260869,0.16807510802061257,0.643660974432882
1,5,22,442.88630434782607,2026.2313043478257,633.901304347826,0.2185763803952165,0.6986676022121123
1,5,23,700.168456521739,1344.3913043478258,599.3065217391304,0.5208070405226222,1.168297742680852
1,5,24,475.08515217391283,1296.6473913043478,509.02565217391293,0.3663950240905558,0.9333226137915658
1,5,25,433.3719347826086,1120.725652173913,412.40173913043475,0.3866886904408595,1.050848950580059
1,15,4,1319.683773913044,3680.1482608695646,2259.7182608695653,0.3585952739852992,0.584003677257188
1,15,5,2312.2671913043478,7746.9365217391305,5646.666956521739,0.29847504040026146,0.4094923977469125
1,15,6,7894.011317391302,17132.01217391304,12774.162173913042,0.4607754907746058,0.6179670502001441
1,15,7,14823.108265217388,24441.34956521739,18915.718260869562,0.6064766687970549,0.7836397254806631
1,15,8,4490.254139130435,3679.9952173913034,3210.639565217391,1.2201793409703159,1.3985544150691365
1,15,9,4179.957208695651,2650.1786956521737,3945.4373913043482,1.5772359862197969,1.0594407651501907
1,15,10,11335.819447826085,8418.079565217391,11515.993043478262,1.346603980160093,0.9843544890161068
1,15,12,25848.7401173913,16058.192608695654,16716.246521739125,1.6096917472140655,1.5463244146211625
1,15,13,19731.88194347826,1446.4760869565216,5579.763478260869,13.641346802348737,3.5363294556041645
1,15,14,15049.334291304347,8727.025652173912,4525.190869565217,1.7244517079602648,3.3256794520029374
1,15,15,13135.367686280537,8368.296086956521,3225.1243478260867,1.569658572042443,4.072825190487463
1,15,16,9755.751122511101,8449.416086956522,3024.3639130434785,1.1546065458382604,3.2257199870810824
1,15,17,6208.016628497966,7686.43652173913,2400.386521739131,0.8076586088937534,2.5862570766311945
1,15,18,3216.114202796748,6043.119565217391,1643.3873913043476,0.5321943688335834,1.9570030899678108
1,15,19,1770.7477565217391,5320.525652173913,1685.7404347826086,0.3328144383249481,1.0504272899819793
1,15,20,1109.091326086956,4013.9073913043467,1130.2243478260868,0.27631213627142237,0.981301923127228
1,15,21,759.8797913043479,3143.623043478261,820.8743478260869,0.24172102723346214,0.9256956235954135
1,15,22,672.3075260869563,2026.2313043478257,633.901304347826,0.33180196389441774,1.060587068484807
1,15,23,804.2904043478261,1344.3913043478258,599.3065217391304,0.5982561786488149,1.3420351275568503
1,15,24,607.8191217391303,1296.6473913043478,509.02565217391293,0.4687620750369933,1.1940834791788917
1,15,25,577.8840999999998,1120.725652173913,412.40173913043475,0.5156338653256098,1.4012649442713094
1,25,4,1457.2595913043485,3680.1482608695646,2259.7182608695653,0.3959785008661634,0.6448855224737523
1,25,5,2644.9362391304344,7746.9365217391305,5646.666956521739,0.34141705327109945,0.4684066298749227
1,25,6,8004.852217391302,17132.01217391304,12774.162173913042,0.46724530289444405,0.6266440106528894
1,25,7,14279.933086956522,24441.34956521739,18915.718260869562,0.5842530523469279,0.7549241794585742
1,25,8,5520.959565217391,3679.9952173913034,3210.639565217391,1.5002627011920742,1.7195824860033984
1,25,9,5830.134369565217,2650.1786956521737,3945.4373913043482,2.1999023609728696,1.4776902511277195
1,25,10,12678.122419114265,8418.079565217391,11515.993043478262,1.5060587537683674,1.10091438673577
1,25,12,27039.426374832583,16058.192608695654,16716.246521739125,1.6838399584390646,1.6175536978153786
1,25,13,20543.454347974195,1446.4760869565216,5579.763478260869,14.202415465573951,3.6817787040638663
1,25,14,15683.456786956518,8727.025652173912,4525.190869565217,1.7971136343629002,3.465811109192703
1,25,15,13307.949972939516,8368.296086956521,3225.1243478260867,1.5902819205551681,4.126337014543274
1,25,16,10006.875422686193,8449.416086956522,3024.3639130434785,1.1843274517080467,3.308753744722497
1,25,17,6740.772134975797,7686.43652173913,2400.386521739131,0.8769697265971349,2.808202793145149
1,25,18,3817.2855210226835,6043.119565217391,1643.3873913043476,0.6316746640251794,2.3228153880339346
1,25,19,2349.038311038012,5320.525652173913,1685.7404347826086,0.44150493101714844,1.3934756873414749
1,25,20,1545.1406521739134,4013.9073913043467,1130.2243478260868,0.38494676173179204,1.367109685033676
1,25,21,1085.9001652173913,3143.623043478261,820.8743478260869,0.34542950926326627,1.322857960043665
1,25,22,967.3904956521736,2026.2313043478257,633.901304347826,0.4774333974489371,1.5260900853445158
1,25,23,1028.3986739130432,1344.3913043478258,599.3065217391304,0.7649548688593513,1.715981115854919
1,25,24,790.5742043478261,1296.6473913043478,509.02565217391293,0.6097063933106416,1.5531126986852124
1,25,25,738.1878043478257,1120.725652173913,412.40173913043475,0.6586694994586191,1.7899725784481988
1,50,4,2176.0202869565223,3680.1482608695646,2259.7182608695653,0.5912860386886589,0.9629608808485555
1,50,5,3788.604934782607,7746.9365217391305,5646.666956521739,0.48904556325602794,0.6709453495228502
