horizon,k_perc,round,mae_adaptive,mae_baseline,mae_flusight,mae_adaptive_baseline,mae_adaptive_flusight
0,25,25,0.5089249076733688,0.12433319655313911,0.10217480508822323,4.093234323432343,4.980923694779116
0,25,26,0.534394299287411,0.0684085510688836,0.12256532066508313,7.811805555555558,4.360077519379845
0,25,27,0.54623745819398,0.0947603121516165,0.05351170568561873,5.764411764705883,10.207812500000001
0,25,28,0.6336864406779661,0.009685230024213076,0.14225181598062955,65.428125,4.454680851063829
0,25,29,0.7453737745098039,0.026348039215686275,0.10355392156862746,28.28953488372093,7.197928994082839
0,50,2,0.12198834196891185,0.06541450777202072,0.19721502590673576,1.864851485148514,0.6185550082101803
0,50,3,0.21241217798594847,0.20234192037470727,0.07564402810304449,1.0497685185185184,2.808049535603715
0,50,4,0.2972673677501593,0.34687699171446784,0.23836838750796685,0.8569820854386768,1.2470922459893046
0,50,5,0.3064256808487367,0.3520726238652521,0.24455867877064422,0.8703479341410375,1.2529740608228979
0,50,6,0.3723912619465574,0.4283206553540082,0.3063519927182888,0.8694216757741347,1.215566638370119
0,50,7,0.4657240105731977,0.5474888655538256,0.4467176014773509,0.8506547619047619,1.0425468104077167
0,50,8,0.538748997179162,0.3350844957428638,0.32996040475142985,1.6078004324992277,1.6327686274509803
0,50,9,0.3888905190401669,0.19014084507042253,0.2791471048513302,2.045276063100137,1.3931382854473253
0,50,10,0.40011385717755654,0.09269492348797669,0.1835681321350498,4.316459220438913,2.179647700959312
0,50,12,0.5893569974953037,0.2999373825923607,0.33001330619912334,1.9649334551148223,1.7858582863919361
0,50,13,0.6300891255709029,0.12327804589412178,0.17226012832602947,5.111121943902805,3.657776942893946
0,50,14,0.5943886534072383,0.06066731876969895,0.020715139658732746,9.797509853099248,28.693441762854146
0,50,15,0.5697061951608615,0.10763094921563414,0.015554373836745546,5.29314476284585,36.62675213675214
0,50,16,0.5753784056508577,0.13830929982747958,0.01064418475961069,4.160084725817839,54.05565749235474
0,50,17,0.5868418853418017,0.19392445261574462,0.034806953033595184,3.026136608489549,16.85990396158463
0,50,18,0.5843499591169256,0.19373126192423004,0.017225402016898338,3.016291502532358,33.92373417721519
0,50,19,0.5728713235294117,0.25375,0.03073529411764706,2.257620979426253,18.638875598086123
0,50,20,0.5684243240443385,0.27359370143996686,0.031389205428364236,2.0776221128360466,18.10891089108911
0,50,21,0.5774368499257058,0.3573551263001486,0.08514115898959881,1.6158627858627856,6.782111692844676
0,50,22,0.5887962962962964,0.29074074074074074,0.017901234567901235,2.02515923566879,32.89137931034483
0,50,23,0.6158101730466701,0.11955951756685894,0.13004719454640798,5.150657894736842,4.735282258064515
0,50,24,0.6563839701770736,0.08170239204721963,0.16060888474681578,8.03384030418251,4.086847195357834
0,50,25,0.6374640951990151,0.12433319655313911,0.10217480508822323,5.127062706270626,6.238955823293172
