state,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2
36,5,2023-12-30,167.01689738147326,168.73079260130788
36,5,2024-01-06,169.73435735413602,160.8286636208196
36,5,2024-01-13,161.87991629875407,154.85862760539385
36,5,2024-01-20,154.47140608218743,152.66947733509596
36,5,2024-01-27,134.63407131237588,150.61038448818894
36,5,2024-02-03,120.93365536110015,148.09772169552127
36,5,2024-02-10,108.29473173220025,145.82936053350906
36,5,2024-02-17,102.29422647047349,143.31034683035531
36,5,2024-02-24,101.82510486087094,138.67424006082493
36,5,2024-03-02,99.13537412380624,131.7287603569109
36,5,2024-03-09,94.94599470105864,121.96981405571272
36,5,2024-03-16,93.66023567058932,116.56784966264935
36,5,2024-03-23,98.7827157662797,117.47778518604956
36,5,2024-03-30,109.87686195292788,121.1250169201169
36,5,2024-04-06,119.42546289472568,119.92918278491601
36,5,2024-04-13,103.11549580237516,103.87942549147122
36,5,2024-04-20,57.84232420077412,72.23703569593485
36,15,2023-11-04,149.81617570851665,163.37383125547916
36,15,2023-11-11,154.15907255725747,167.31500648156933
36,15,2023-11-18,157.96292227578957,170.97328831377874
36,15,2023-11-25,155.0857547458929,174.16450365010428
36,15,2023-12-02,160.6972143057405,176.5707650942704
36,15,2023-12-09,158.89411976132934,177.44365336623142
36,15,2023-12-16,155.553073233129,176.42167539562212
36,15,2023-12-23,157.54111974976047,172.9388425476391
36,15,2023-12-30,161.7895597172547,168.73079260130788
36,15,2024-01-06,160.19592360436297,160.8286636208196
36,15,2024-01-13,156.91785476919046,154.85862760539385
36,15,2024-01-20,145.83877799907995,152.66947733509596
36,15,2024-01-27,134.32286394445208,150.61038448818894
36,15,2024-02-03,123.82810501752694,148.09772169552127
36,15,2024-02-10,110.14021375302481,145.82936053350906
36,15,2024-02-17,99.18868596051985,143.31034683035531
36,15,2024-02-24,95.86168504021367,138.67424006082493
36,15,2024-03-02,93.76044862405607,131.7287603569109
36,15,2024-03-09,88.49632356124286,121.96981405571272
36,15,2024-03-16,88.44049643614413,116.56784966264935
36,15,2024-03-23,94.05340045923091,117.47778518604956
36,15,2024-03-30,105.93248719122485,121.1250169201169
36,15,2024-04-06,115.25108045428017,119.92918278491601
36,15,2024-04-13,100.18102312508886,103.87942549147122
36,15,2024-04-20,58.3252298768593,72.23703569593485
36,25,2023-11-04,152.20185663947734,163.37383125547916
36,25,2023-11-11,155.6864927960227,167.31500648156933
36,25,2023-11-18,161.272532270906,170.97328831377874
36,25,2023-11-25,158.6477587670605,174.16450365010428
36,25,2023-12-02,162.32133974748436,176.5707650942704
36,25,2023-12-09,161.19122982282028,177.44365336623142
36,25,2023-12-16,157.89362199226366,176.42167539562212
36,25,2023-12-23,156.712513864443,172.9388425476391
36,25,2023-12-30,157.25364624258262,168.73079260130788
36,25,2024-01-06,155.3375874429313,160.8286636208196
36,25,2024-01-13,153.52179056066623,154.85862760539385
36,25,2024-01-20,144.89715085533,152.66947733509596
36,25,2024-01-27,135.02832364170789,150.61038448818894
36,25,2024-02-03,124.16581129591633,148.09772169552127
36,25,2024-02-10,110.66524046526747,145.82936053350906
36,25,2024-02-17,100.68660866689495,143.31034683035531
36,25,2024-02-24,95.04868797173349,138.67424006082493
36,25,2024-03-02,92.07053836237054,131.7287603569109
36,25,2024-03-09,88.03192831143278,121.96981405571272
36,25,2024-03-16,88.81219117659826,116.56784966264935
36,25,2024-03-23,94.01313507316175,117.47778518604956
36,25,2024-03-30,104.52836583944054,121.1250169201169
36,25,2024-04-06,113.35369619846591,119.92918278491601
36,25,2024-04-13,101.20214389210118,103.87942549147122
36,25,2024-04-20,59.18997051750186,72.23703569593485
36,50,2023-11-04,152.4076927758623,163.37383125547916
36,50,2023-11-11,156.82868159687192,167.31500648156933
36,50,2023-11-18,161.81702559556132,170.97328831377874
36,50,2023-11-25,163.956104695707,174.16450365010428
36,50,2023-12-02,166.6368343531774,176.5707650942704
36,50,2023-12-09,167.97174121381843,177.44365336623142
36,50,2023-12-16,165.60626269483498,176.42167539562212
36,50,2023-12-23,162.70078821357728,172.9388425476391
