state,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2
24,5,2024-12-14,143.27868912139533,180.88366561374374
24,5,2024-12-21,144.42793520619875,185.68192094214922
24,5,2024-12-28,149.99753500205938,191.38118768607913
24,5,2025-01-04,159.20318460893748,198.15467934366404
24,5,2025-01-11,147.5215741325872,203.12291973548358
24,5,2025-01-18,148.32267456949262,210.15444248125192
24,5,2025-02-01,162.9099342393101,216.2407374203417
24,5,2025-02-08,156.14112168021984,205.62152715856323
24,5,2025-02-15,126.55564849824253,173.09522324351485
24,5,2025-02-22,89.58555578455662,130.1721776894252
24,5,2025-03-01,68.12653334827809,100.04570336290138
24,5,2025-03-08,54.127105858854065,78.34451331435935
24,5,2025-03-15,45.51526127660655,64.65580299357197
24,5,2025-03-22,37.80866938560949,53.45544682015014
24,5,2025-03-29,32.7922766489601,45.32598256248818
24,5,2025-04-05,30.979551768058684,41.21259952459728
24,5,2025-04-12,24.649949917903754,33.28738299075263
24,5,2025-04-19,19.016342672282885,26.56181070302058
24,5,2025-04-26,17.029391487696877,23.514738692340643
24,15,2024-11-30,144.31944229472307,172.14683303304318
24,15,2024-12-07,154.06269850202037,176.54223639938635
24,15,2024-12-14,166.75900113477903,180.88366561374374
24,15,2024-12-21,170.32414180614757,185.68192094214922
24,15,2024-12-28,176.39750671384937,191.38118768607913
24,15,2025-01-04,182.05908687133837,198.15467934366404
24,15,2025-01-11,165.36690599757782,203.12291973548358
24,15,2025-01-18,167.5115060413688,210.15444248125192
24,15,2025-02-01,170.41183471831303,216.2407374203417
24,15,2025-02-08,158.3067581383971,205.62152715856323
24,15,2025-02-15,128.8692624590612,173.09522324351485
24,15,2025-02-22,95.18823232666283,130.1721776894252
24,15,2025-03-01,71.86032446951894,100.04570336290138
24,15,2025-03-08,57.049930543126166,78.34451331435935
24,15,2025-03-15,48.17657196782821,64.65580299357197
24,15,2025-03-22,40.217140969950364,53.45544682015014
24,15,2025-03-29,34.21929573331959,45.32598256248818
24,15,2025-04-05,32.03711913598266,41.21259952459728
24,15,2025-04-12,25.337084048505464,33.28738299075263
24,15,2025-04-19,19.722163400211794,26.56181070302058
24,15,2025-04-26,17.48596708368091,23.514738692340643
24,25,2024-11-30,149.19568586683346,172.14683303304318
24,25,2024-12-07,156.11788098810334,176.54223639938635
24,25,2024-12-14,163.4944979448165,180.88366561374374
24,25,2024-12-21,168.8642974798382,185.68192094214922
24,25,2024-12-28,176.40487667577037,191.38118768607913
24,25,2025-01-04,184.54012859024337,198.15467934366404
24,25,2025-01-11,175.88266921986855,203.12291973548358
24,25,2025-01-18,178.11361467410188,210.15444248125192
24,25,2025-02-01,181.22474919640013,216.2407374203417
24,25,2025-02-08,172.40075251574905,205.62152715856323
24,25,2025-02-15,143.20380017946596,173.09522324351485
24,25,2025-02-22,104.89926200379587,130.1721776894252
24,25,2025-03-01,80.30953841189418,100.04570336290138
24,25,2025-03-08,62.55619507181695,78.34451331435935
24,25,2025-03-15,51.343112731251445,64.65580299357197
24,25,2025-03-22,42.58616139834121,53.45544682015014
24,25,2025-03-29,36.00399821842671,45.32598256248818
24,25,2025-04-05,33.483832716671046,41.21259952459728
24,25,2025-04-12,26.563347570526798,33.28738299075263
24,25,2025-04-19,20.723311811240126,26.56181070302058
24,25,2025-04-26,18.28244796966865,23.514738692340643
24,50,2024-11-30,147.57470776552083,172.14683303304318
24,50,2024-12-07,152.45307408928065,176.54223639938635
24,50,2024-12-14,158.25279847806775,180.88366561374374
24,50,2024-12-21,164.21147167216176,185.68192094214922
24,50,2024-12-28,170.83243856060082,191.38118768607913
24,50,2025-01-04,177.89391129138207,198.15467934366404
24,50,2025-01-11,174.69150013758758,203.12291973548358
24,50,2025-01-18,179.06577406000727,210.15444248125192
24,50,2025-02-01,187.36544709108034,216.2407374203417
24,50,2025-02-08,179.05519283865638,205.62152715856323
24,50,2025-02-15,150.9355318446124,173.09522324351485
24,50,2025-02-22,112.82838348290429,130.1721776894252
24,50,2025-03-01,86.32179963894372,100.04570336290138
24,50,2025-03-08,67.70895868704392,78.34451331435935
24,50,2025-03-15,55.706793304260444,64.65580299357197
24,50,2025-03-22,45.88704169137892,53.45544682015014
24,50,2025-03-29,38.78894371654254,45.32598256248818
24,50,2025-04-05,35.65503450170651,41.21259952459728
24,50,2025-04-12,28.46040520797497,33.28738299075263
24,50,2025-04-19,22.30170674624107,26.56181070302058
24,50,2025-04-26,19.61236991527636,23.514738692340643
24,75,2024-11-30,157.4129070962043,172.14683303304318
24,75,2024-12-07,162.2733781105911,176.54223639938635
24,75,2024-12-14,167.51538517109626,180.88366561374374
24,75,2024-12-21,173.41218464410994,185.68192094214922
24,75,2024-12-28,179.69643464949837,191.38118768607913
24,75,2025-01-04,187.0748868448279,198.15467934366404
24,75,2025-01-11,189.26290553669824,203.12291973548358
24,75,2025-01-18,195.49675180178343,210.15444248125192
24,75,2025-02-01,201.02582432131302,216.2407374203417
