state,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2
19,25,2023-11-04,0.44399479839553724,0.5589232327262889
19,25,2023-11-11,0.45428411746269765,0.5589144752925105
19,25,2023-11-18,0.4583938738854586,0.5588582305371396
19,25,2023-11-25,0.44050166541379504,0.556785017517779
19,25,2023-12-02,0.43724819848389734,0.5599058203454963
19,25,2023-12-09,0.45502542744955005,0.5705847838219434
19,25,2023-12-16,0.4095571325471735,0.5735808445180662
19,25,2023-12-23,0.4204464501318911,0.5716764794083699
19,25,2023-12-30,0.43996653091220833,0.5937806197412556
19,25,2024-01-06,0.43567700361535044,0.6169472870920611
19,25,2024-01-13,0.45619402873641185,0.6307224966940383
19,25,2024-01-20,0.4258395104904985,0.6249354285580333
19,25,2024-01-27,0.39197823943490173,0.630896950913341
19,25,2024-02-03,0.35445408241735793,0.6259048403142699
19,25,2024-02-10,0.37808024249842587,0.672416002437117
19,25,2024-02-17,0.43410843828607565,0.7244130159779658
19,25,2024-02-24,0.4947239456950299,0.7663979992831484
19,25,2024-03-02,0.5507427055367514,0.7941748250503604
19,25,2024-03-09,0.5342068264159626,0.8107829328477285
19,25,2024-03-16,0.5360224919127847,0.8201193687640904
19,25,2024-03-23,0.5862357190764163,0.8427528972800411
19,25,2024-03-30,0.6320550365331934,0.8637341300922632
19,25,2024-04-06,0.6586858673363888,0.8748735122326423
19,25,2024-04-13,0.664198605014144,0.8763439739627783
19,25,2024-04-20,0.6835390153159944,0.8736251186606008
19,50,2023-11-04,0.46330659914077793,0.5589232327262889
19,50,2023-11-11,0.4526440339630279,0.5589144752925105
19,50,2023-11-18,0.44257726894314825,0.5588582305371396
19,50,2023-11-25,0.44714710102529465,0.556785017517779
19,50,2023-12-02,0.44260263927076643,0.5599058203454963
19,50,2023-12-09,0.4347394225258526,0.5705847838219434
19,50,2023-12-16,0.43111829923280515,0.5735808445180662
19,50,2023-12-23,0.4322684264604582,0.5716764794083699
19,50,2023-12-30,0.4312973578050913,0.5937806197412556
19,50,2024-01-06,0.434134123577171,0.6169472870920611
19,50,2024-01-13,0.4553108968397419,0.6307224966940383
19,50,2024-01-20,0.45008367174512354,0.6249354285580333
19,50,2024-01-27,0.44964321983351363,0.630896950913341
19,50,2024-02-03,0.4518070565528729,0.6259048403142699
19,50,2024-02-10,0.48844188695182367,0.672416002437117
19,50,2024-02-17,0.5534121520027253,0.7244130159779658
19,50,2024-02-24,0.6035450396843146,0.7663979992831484
19,50,2024-03-02,0.6373339050072574,0.7941748250503604
19,50,2024-03-09,0.6320509909623337,0.8107829328477285
19,50,2024-03-16,0.6395734681127402,0.8201193687640904
19,50,2024-03-23,0.6842796346621338,0.8427528972800411
19,50,2024-03-30,0.727934505778276,0.8637341300922632
19,50,2024-04-06,0.7538442791170403,0.8748735122326423
19,50,2024-04-13,0.7619257403808345,0.8763439739627783
19,50,2024-04-20,0.7820554080144698,0.8736251186606008
19,75,2023-11-04,0.46646787234404546,0.5589232327262889
19,75,2023-11-11,0.46770865604858614,0.5589144752925105
19,75,2023-11-18,0.46857847061718744,0.5588582305371396
19,75,2023-11-25,0.47117522327700273,0.556785017517779
19,75,2023-12-02,0.4760291900307722,0.5599058203454963
19,75,2023-12-09,0.4794695816242401,0.5705847838219434
19,75,2023-12-16,0.4892923978879136,0.5735808445180662
19,75,2023-12-23,0.49529073006647634,0.5716764794083699
19,75,2023-12-30,0.5097748633287854,0.5937806197412556
19,75,2024-01-06,0.5334998217794041,0.6169472870920611
19,75,2024-01-13,0.5510669506082162,0.6307224966940383
19,75,2024-01-20,0.5428067883600992,0.6249354285580333
19,75,2024-01-27,0.5416900811939988,0.630896950913341
19,75,2024-02-03,0.5383801256205734,0.6259048403142699
19,75,2024-02-10,0.5870056530691438,0.672416002437117
19,75,2024-02-17,0.6480432390591954,0.7244130159779658
19,75,2024-02-24,0.6921106607588944,0.7663979992831484
19,75,2024-03-02,0.7259201187999986,0.7941748250503604
19,75,2024-03-09,0.7259994713090787,0.8107829328477285
19,75,2024-03-16,0.7329966962264721,0.8201193687640904
19,75,2024-03-23,0.7663717911837437,0.8427528972800411
19,75,2024-03-30,0.8011831727445538,0.8637341300922632
19,75,2024-04-06,0.8201653071013025,0.8748735122326423
19,75,2024-04-13,0.8293388006087582,0.8763439739627783
19,75,2024-04-20,0.8418617412775226,0.8736251186606008
28,5,2023-11-04,0.39399166330572316,0.4807981923433232
28,5,2023-11-11,0.43241741601470224,0.46436616622604937
28,5,2023-11-18,0.2978131919787963,0.43834950755019236
28,5,2023-11-25,0.27602211350543887,0.40003200638349234
28,5,2023-12-02,0.2805845544286887,0.3496155084719899
28,5,2023-12-09,0.30122797059959905,0.3090925514350751
28,5,2023-12-16,0.3004574930709503,0.2605026921853626
28,5,2023-12-23,0.34733035596516415,0.2222526197014939
28,5,2023-12-30,0.3624841547864655,0.23218916671417594
28,5,2024-01-06,0.287253506562044,0.22922429697067032
28,5,2024-01-13,0.27325360241862184,0.21902327483472653
28,5,2024-01-20,0.3207006317233975,0.2081737661700177
28,5,2024-01-27,0.42527866819534527,0.22913772947154207
28,5,2024-02-03,0.4597426423836515,0.24003338226749812
28,5,2024-02-10,0.47343943087705687,0.2801198800080073
28,5,2024-02-17,0.34801819588515204,0.2988911777567963
28,5,2024-02-24,0.30115048483271406,0.3356381034141477
28,5,2024-03-02,0.24164519548836513,0.33920260639473776
28,5,2024-03-09,0.30131837464428113,0.3798726248241393
28,5,2024-03-16,0.3528100990147638,0.43187829916779147
28,5,2024-03-23,0.42504102981552294,0.4792576924338914
28,5,2024-03-30,0.48415283947198506,0.5285935622905965
28,5,2024-04-06,0.4900589993422147,0.5573913316689062
28,5,2024-04-13,0.380610216970546,0.5039338251387274
28,5,2024-04-20,0.27987526709444394,0.47329004461427177
28,15,2023-11-04,0.4205043601549046,0.4807981923433232
28,15,2023-11-11,0.4359652954566217,0.46436616622604937
28,15,2023-11-18,0.36314690747703726,0.43834950755019236
28,15,2023-11-25,0.3009531140619706,0.40003200638349234
28,15,2023-12-02,0.2648196769022129,0.3496155084719899
28,15,2023-12-09,0.2936850288196343,0.3090925514350751
28,15,2023-12-16,0.294448948749318,0.2605026921853626
28,15,2023-12-23,0.31138134296097963,0.2222526197014939
28,15,2023-12-30,0.298518165888744,0.23218916671417594
28,15,2024-01-06,0.2329018918455603,0.22922429697067032
28,15,2024-01-13,0.24498636576347804,0.21902327483472653
28,15,2024-01-20,0.27525100726756063,0.2081737661700177
28,15,2024-01-27,0.3964056923060196,0.22913772947154207
28,15,2024-02-03,0.4865244660625273,0.24003338226749812
28,15,2024-02-10,0.4711449518118691,0.2801198800080073
28,15,2024-02-17,0.2863619885343225,0.2988911777567963
28,15,2024-02-24,0.27141005331522455,0.3356381034141477
28,15,2024-03-02,0.22319032802685634,0.33920260639473776
28,15,2024-03-09,0.29096124818744606,0.3798726248241393
28,15,2024-03-16,0.35002806226711203,0.43187829916779147
28,15,2024-03-23,0.42991119868004374,0.4792576924338914
28,15,2024-03-30,0.48450358824722306,0.5285935622905965
28,15,2024-04-06,0.5058138358672472,0.5573913316689062
28,15,2024-04-13,0.4155969619043143,0.5039338251387274
28,15,2024-04-20,0.31700757444008004,0.47329004461427177
28,25,2023-11-04,0.41604198940063675,0.4807981923433232
28,25,2023-11-11,0.4229914377891761,0.46436616622604937
28,25,2023-11-18,0.3695106281032355,0.43834950755019236
28,25,2023-11-25,0.316413426645797,0.40003200638349234
28,25,2023-12-02,0.2684306173574801,0.3496155084719899
28,25,2023-12-09,0.26551889519599847,0.3090925514350751
28,25,2023-12-16,0.2759545633164464,0.2605026921853626
28,25,2023-12-23,0.29178150156934834,0.2222526197014939
28,25,2023-12-30,0.29514063198907764,0.23218916671417594
28,25,2024-01-06,0.24233582575332577,0.22922429697067032
28,25,2024-01-13,0.2439651599013682,0.21902327483472653
28,25,2024-01-20,0.26686467388651647,0.2081737661700177
28,25,2024-01-27,0.3284560898738172,0.22913772947154207
28,25,2024-02-03,0.4357079800644946,0.24003338226749812
28,25,2024-02-10,0.43806964164780604,0.2801198800080073
28,25,2024-02-17,0.2885970297106515,0.2988911777567963
28,25,2024-02-24,0.27031693116651495,0.3356381034141477
28,25,2024-03-02,0.221204260167632,0.33920260639473776
28,25,2024-03-09,0.292751087241427,0.3798726248241393
28,25,2024-03-16,0.33662776500822156,0.43187829916779147
28,25,2024-03-23,0.41601736237748604,0.4792576924338914
28,25,2024-03-30,0.4851919213813046,0.5285935622905965
28,25,2024-04-06,0.5059357561239658,0.5573913316689062
28,25,2024-04-13,0.41125943459326664,0.5039338251387274
28,25,2024-04-20,0.32176798545360796,0.47329004461427177
28,50,2023-11-04,0.3848749292341382,0.4807981923433232
28,50,2023-11-11,0.3768529975168395,0.46436616622604937
28,50,2023-11-18,0.3283334959029995,0.43834950755019236
28,50,2023-11-25,0.29408371987876847,0.40003200638349234
28,50,2023-12-02,0.2768437345312732,0.3496155084719899
28,50,2023-12-09,0.2696177618896478,0.3090925514350751
28,50,2023-12-16,0.26638133642664924,0.2605026921853626
28,50,2023-12-23,0.284475098535094,0.2222526197014939
28,50,2023-12-30,0.28045820243545944,0.23218916671417594
28,50,2024-01-06,0.25156364310427554,0.22922429697067032
28,50,2024-01-13,0.23402779277412644,0.21902327483472653
28,50,2024-01-20,0.23163068481659857,0.2081737661700177
28,50,2024-01-27,0.27090892889232837,0.22913772947154207
28,50,2024-02-03,0.3018589871142226,0.24003338226749812
28,50,2024-02-10,0.3371761679514707,0.2801198800080073
28,50,2024-02-17,0.29507303593226997,0.2988911777567963
28,50,2024-02-24,0.24783380671194746,0.3356381034141477
28,50,2024-03-02,0.17995238073790099,0.33920260639473776
28,50,2024-03-09,0.228928650035044,0.3798726248241393
28,50,2024-03-16,0.28821566768786916,0.43187829916779147
28,50,2024-03-23,0.3618868332864383,0.4792576924338914
28,50,2024-03-30,0.4420781909697408,0.5285935622905965
28,50,2024-04-06,0.48170953470706424,0.5573913316689062
28,50,2024-04-13,0.39070447554279525,0.5039338251387274
28,50,2024-04-20,0.327179074203312,0.47329004461427177
28,75,2023-11-04,0.4150908262918053,0.4807981923433232
28,75,2023-11-11,0.38439611797497863,0.46436616622604937
28,75,2023-11-18,0.34597453101930126,0.43834950755019236
