state,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2
37,75,2024-02-03,0.3993426139052269,0.33164647145605913
37,75,2024-02-10,0.37288343727799006,0.35912019561306496
37,75,2024-02-17,0.32870088393756675,0.36146165164228133
37,75,2024-02-24,0.26952771264877334,0.43316737287241847
37,75,2024-03-02,0.29846530226405066,0.49661176151155917
37,75,2024-03-09,0.3858122186442858,0.5355849329494997
37,75,2024-03-16,0.4441509786209101,0.5676374587312822
37,75,2024-03-23,0.49526702728609545,0.6117943356139403
37,75,2024-03-30,0.5615040550257918,0.6462927591216209
37,75,2024-04-06,0.6203377676437022,0.6430301586718176
37,75,2024-04-13,0.6477836672294561,0.5906979882958753
37,75,2024-04-20,0.6541189549244928,0.42586225376489306
54,5,2023-11-04,0.7212187488965537,0.870229045139716
54,5,2023-11-11,0.7678086532809337,0.8605775951919389
54,5,2023-11-18,0.742290021837226,0.854078650269948
54,5,2023-11-25,0.7416657029619491,0.8413225623219601
54,5,2023-12-02,0.6672836841580154,0.8289870120720383
54,5,2023-12-09,0.6336470608571116,0.8153666230931078
54,5,2023-12-16,0.6208752388272986,0.7979589186172429
54,5,2023-12-23,0.6123599315067583,0.7909308623658325
54,5,2023-12-30,0.50183337673573,0.8136805158423663
54,5,2024-01-06,0.43628758386441635,0.8257413907879191
54,5,2024-01-13,0.41762932728840313,0.8340052336046315
54,5,2024-01-20,0.4062638424471616,0.8430152950894604
54,5,2024-01-27,0.3996509375185174,0.8518519255694904
54,5,2024-02-03,0.4182950327218434,0.8625885150323711
54,5,2024-02-10,0.44576110761557436,0.8745106250247064
54,5,2024-02-17,0.4716188004241273,0.8864457706331837
54,5,2024-02-24,0.4942430918484387,0.8913196580546092
54,5,2024-03-02,0.5254198241492447,0.8969986827099625
54,5,2024-03-09,0.49576455199853603,0.8964152900442114
54,5,2024-03-16,0.49300142592991747,0.8966643406462663
54,5,2024-03-23,0.45072152040648716,0.9018191746106886
54,5,2024-03-30,0.4713314692727377,0.9062626821222834
54,5,2024-04-06,0.5014616971104969,0.9056548911809061
54,5,2024-04-13,0.4868254456893366,0.8741414056240574
54,5,2024-04-20,0.15056877823930004,0.8875119574655195
54,15,2023-11-04,0.7850851825330538,0.870229045139716
54,15,2023-11-11,0.7756392634715737,0.8605775951919389
54,15,2023-11-18,0.7552012789385802,0.854078650269948
54,15,2023-11-25,0.7511172200938248,0.8413225623219601
54,15,2023-12-02,0.7264172858097633,0.8289870120720383
54,15,2023-12-09,0.6970539347302699,0.8153666230931078
54,15,2023-12-16,0.6863938737007199,0.7979589186172429
54,15,2023-12-23,0.6448718266815178,0.7909308623658325
54,15,2023-12-30,0.6070369448646231,0.8136805158423663
54,15,2024-01-06,0.537825256915661,0.8257413907879191
54,15,2024-01-13,0.47171239831028083,0.8340052336046315
54,15,2024-01-20,0.40771307585396593,0.8430152950894604
54,15,2024-01-27,0.39130598716856513,0.8518519255694904
54,15,2024-02-03,0.40113739876947074,0.8625885150323711
54,15,2024-02-10,0.4284081954282737,0.8745106250247064
54,15,2024-02-17,0.46727458300550145,0.8864457706331837
54,15,2024-02-24,0.5043954271396235,0.8913196580546092
54,15,2024-03-02,0.5353749009263975,0.8969986827099625
54,15,2024-03-09,0.5728346784495258,0.8964152900442114
54,15,2024-03-16,0.5932349876312664,0.8966643406462663
54,15,2024-03-23,0.6091998332321314,0.9018191746106886
54,15,2024-03-30,0.6465082047915697,0.9062626821222834
54,15,2024-04-06,0.6798932249147986,0.9056548911809061
