k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_rel_original2
25,2025-05-03,0.9403613088083942,0.9574763647676106,0.9821248266912882
50,2024-11-23,0.8049565081033108,0.7661212696974639,1.0506907195269264
50,2024-11-30,0.8006812136861662,0.7677946549808624,1.042832492375352
50,2024-12-07,0.8038852181848506,0.7703237481999302,1.0435680063912685
50,2024-12-14,0.8049523251572457,0.7737692650919223,1.0403002050767922
50,2024-12-21,0.8056043957120823,0.7787486183523141,1.0344858106029002
50,2024-12-28,0.7905677502634638,0.7845166790843512,1.0077131198614862
50,2025-01-04,0.7558112482537631,0.7879040484704808,0.959268136419634
50,2025-01-11,0.7385183807215322,0.7885184353955472,0.9365898723104257
50,2025-01-18,0.738644372029489,0.7954535066127002,0.9285827089692231
50,2025-01-25,0.7263484765166255,0.8015041018035142,0.906231764606349
50,2025-02-01,0.7051734086884572,0.8038222924936322,0.8772752575707441
50,2025-02-08,0.6957735277358055,0.798782755400505,0.8710422490116836
50,2025-02-15,0.6842878905230743,0.7879391713977925,0.8684526869112975
50,2025-02-22,0.6844160520786104,0.7798193328120285,0.8776597646157427
50,2025-03-01,0.7106264379615077,0.7770974319334506,0.914462471190311
50,2025-03-08,0.7483377569932257,0.7807642743204538,0.9584682363246565
50,2025-03-15,0.7909724808460113,0.7942366879576728,0.9958901330533406
50,2025-03-22,0.8358382358381393,0.8190268360085458,1.020526067145153
50,2025-03-29,0.8707205558830206,0.851458964127661,1.0226218673674938
50,2025-04-05,0.9038554170087668,0.8847631370869247,1.0215789730850489
50,2025-04-12,0.9286356101807172,0.9131652447674756,1.016941474176649
50,2025-04-19,0.9447961514724342,0.9333243286076008,1.0122913573697878
50,2025-04-26,0.9571400680791781,0.9474730368604494,1.0102029618180601
50,2025-05-03,0.9650302245955066,0.9574763647676106,1.007889343388366
75,2024-11-23,0.7986738970711965,0.7661212696974639,1.042490175721903
75,2024-11-30,0.8043954466867835,0.7677946549808624,1.0476700267037329
75,2024-12-07,0.8101729320743799,0.7703237481999302,1.05173043667363
75,2024-12-14,0.8127752495919953,0.7737692650919223,1.050410356497475
75,2024-12-21,0.8162367824963933,0.7787486183523141,1.048138979974561
75,2024-12-28,0.8095547833856496,0.7845166790843512,1.031915324388669
75,2025-01-04,0.8010133049022324,0.7879040484704808,1.0166381381809118
75,2025-01-11,0.7945667541275171,0.7885184353955472,1.007670484874505
75,2025-01-18,0.7878540168023499,0.7954535066127002,0.9904463431901741
75,2025-01-25,0.7743273986236874,0.8015041018035142,0.9660928707430507
75,2025-02-01,0.7567829020170587,0.8038222924936322,0.9414803608759753
75,2025-02-08,0.7443597100841907,0.798782755400505,0.9318675259970691
75,2025-02-15,0.7410382546970087,0.7879391713977925,0.940476475338087
75,2025-02-22,0.7452926589281462,0.7798193328120285,0.9557247782516765
75,2025-03-01,0.7647721506074505,0.7770974319334506,0.984139335919134
75,2025-03-08,0.7972985683272047,0.7807642743204538,1.0211770627199122
75,2025-03-15,0.8351182212410696,0.7942366879576728,1.0514727333844538
75,2025-03-22,0.8721882952532076,0.8190268360085458,1.064908079817921
75,2025-03-29,0.9021939236147257,0.851458964127661,1.059585912679942
75,2025-04-05,0.9260015314165667,0.8847631370869247,1.046609530394111
75,2025-04-12,0.9449873737790395,0.9131652447674756,1.0348481604987791
75,2025-04-19,0.9565725054724287,0.9333243286076008,1.0249090012466633
75,2025-04-26,0.9643311021052846,0.9474730368604494,1.0177926596208966
75,2025-05-03,0.9702647080878343,0.9574763647676106,1.0133563018271763
